id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Blocked Shots_home,Blocked Shots_away,Completed Passes_home,Completed Passes_away,result,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,Pass Success %_home,Pass Success %_away
MVlwWLgA,28.03.2019 18:40,Al Ahli SC,Al Raed,4,5,55%,45%,9.0,12.0,5.0,7.0,4.0,5.0,11.0,10.0,3.0,5.0,0.0,1.0,10.0,25.0,2.0,1.0,10.0,10.0,,,,,121.0,84.0,71.0,71.0,6.0,3.0,0,0,,,,,A,,,,,,,,
OxzYYN9i,28.03.2019 18:30,Al Ettifaq,Al Qadisiya,3,2,49%,51%,14.0,10.0,7.0,4.0,7.0,6.0,11.0,16.0,7.0,5.0,4.0,0.0,23.0,19.0,2.0,4.0,12.0,11.0,,,,,78.0,72.0,88.0,58.0,4.0,3.0,0,0,,,,,H,,,,,,,,
2TYyYsPc,28.03.2019 17:00,Al Taawon,Al Wehda,1,0,59%,41%,14.0,6.0,6.0,3.0,8.0,3.0,27.0,16.0,5.0,5.0,3.0,4.0,13.0,38.0,3.0,5.0,13.0,23.0,,,,,137.0,123.0,95.0,69.0,0.0,3.0,0,0,,,,,H,,,,,,,,
jk5JF09T,28.03.2019 16:55,Al Feiha,Al Batin,2,1,56%,44%,14.0,5.0,6.0,1.0,8.0,4.0,12.0,15.0,5.0,1.0,1.0,0.0,24.0,26.0,0.0,4.0,14.0,12.0,,,,,133.0,99.0,84.0,42.0,3.0,3.0,0,1,,,,,H,,,,,,,,
AZojAvXj,28.03.2019 14:00,Al Hazem,Al Fateh,1,0,60%,40%,12.0,3.0,10.0,1.0,2.0,2.0,9.0,17.0,8.0,1.0,2.0,0.0,21.0,20.0,1.0,9.0,15.0,9.0,,,,,102.0,107.0,79.0,51.0,2.0,2.0,0,0,,,,,H,,,,,,,,
M9D2JrA4,23.03.2019 18:05,Al Hilal,Ohod,0,0,75%,25%,13.0,2.0,7.0,1.0,6.0,1.0,16.0,19.0,7.0,1.0,3.0,3.0,26.0,16.0,1.0,7.0,16.0,13.0,,,,,90.0,60.0,82.0,27.0,2.0,4.0,0,0,,,,,D,,,,,,,,
Cb6FGtfN,16.03.2019 18:30,Al Wehda,Al Nassr,0,4,47%,53%,3.0,9.0,1.0,7.0,2.0,2.0,13.0,22.0,1.0,4.0,5.0,2.0,13.0,25.0,3.0,1.0,17.0,11.0,,,,,112.0,110.0,40.0,85.0,4.0,0.0,0,0,,,,,A,,,,,,,,
rP1BHMvH,16.03.2019 14:00,Al Hazem,Al Ittihad,0,3,33%,67%,6.0,12.0,2.0,9.0,4.0,3.0,18.0,20.0,3.0,4.0,4.0,1.0,20.0,18.0,6.0,2.0,16.0,17.0,,,,,104.0,115.0,65.0,78.0,1.0,3.0,1,0,,,,,A,,,,,,,,
xMBjMpQo,15.03.2019 18:00,Al Ettifaq,Al Shabab,1,1,48%,52%,6.0,18.0,3.0,11.0,3.0,7.0,15.0,22.0,5.0,13.0,0.0,4.0,24.0,22.0,10.0,2.0,22.0,11.0,,,,,92.0,139.0,48.0,115.0,3.0,1.0,0,0,,,,,D,,,,,,,,
GCAfL4uh,15.03.2019 14:00,Al Raed,Al Batin,1,0,60%,40%,10.0,8.0,7.0,5.0,3.0,3.0,20.0,19.0,6.0,8.0,2.0,4.0,25.0,10.0,5.0,6.0,17.0,16.0,,,,,104.0,82.0,83.0,61.0,1.0,3.0,0,0,,,,,H,,,,,,,,
AZ9bKOfb,14.03.2019 18:15,Al Taawon,Al Fateh,1,1,62%,38%,8.0,7.0,2.0,4.0,6.0,3.0,21.0,6.0,1.0,3.0,2.0,6.0,19.0,15.0,3.0,1.0,4.0,15.0,,,,,123.0,88.0,95.0,47.0,3.0,3.0,0,0,,,,,D,,,,,,,,
04S7c1mo,14.03.2019 16:45,Al-Faisaly,Al Qadisiya,3,0,49%,51%,10.0,11.0,7.0,7.0,3.0,4.0,12.0,9.0,5.0,10.0,1.0,1.0,28.0,20.0,7.0,4.0,8.0,11.0,,,,,103.0,116.0,78.0,91.0,2.0,0.0,0,0,,,,,H,,,,,,,,
