id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,result
Ac6i1Ms1,08.12.2023 16:00,Al Taawon,Al Feiha,4,1,1.88,0.75,63%,37%,11,7,9,3,1,2,1,2,13,9,7,4,0,4,15,15,2,5,9,10,0,0,,,658,385,587,311,23,16,137,81,60,37,12,13,2,2,6,12,H
4dN89pzL,08.12.2023 16:00,Al Taee,Al Hilal,1,2,0.19,1.98,34%,66%,8,14,4,5,3,6,1,3,19,11,0,10,1,4,14,13,3,3,12,15,0,0,3,2,302,599,234,542,18,19,56,121,21,70,24,2,3,9,5,7,A
Gf9aa0CD,07.12.2023 19:00,Al Shabab,Al Ettifaq,0,0,,,56%,44%,16,10,5,2,6,7,5,1,9,11,5,6,0,1,21,21,2,5,10,6,2,1,2,0,509,377,445,319,7,16,96,66,42,46,26,25,2,8,11,12,D
zuEv4Ocr,07.12.2023 16:00,Al Hazem,Al Fateh,2,0,2.32,0.35,45%,55%,15,11,5,4,7,3,3,4,8,20,7,8,0,0,16,21,4,3,19,9,0,0,3,1,374,455,305,363,19,22,104,106,73,66,34,11,4,4,10,6,H
4K5e0tc7,07.12.2023 16:00,Damac,Al Ittihad,3,1,1.85,1.23,49%,51%,15,10,4,4,7,5,4,1,20,13,8,6,2,3,13,17,3,1,12,18,0,0,1,3,355,380,286,311,19,18,95,84,41,39,17,22,6,2,13,10,H
jenvWstM,02.12.2023 19:00,Al Raed,Al Wehda,2,0,0.97,0.34,44%,56%,8,10,3,1,3,5,2,4,6,16,3,7,3,0,13,20,1,1,15,8,0,1,2,2,377,453,296,376,13,11,101,124,79,53,25,9,0,6,12,3,H
b1yEPuJk,02.12.2023 19:00,Al Shabab,Al Taawon,1,2,1.84,2.82,48%,52%,11,19,2,4,4,11,5,4,15,15,4,9,3,1,20,18,2,1,12,15,0,0,1,3,403,431,340,379,12,11,79,109,39,81,26,17,4,8,3,8,A
06gRYqd3,02.12.2023 16:00,Al Akhdoud,Al Ettifaq,1,0,0.57,0.38,44%,56%,9,8,1,4,3,3,5,1,11,9,4,6,2,2,10,9,4,0,17,12,0,0,2,1,396,497,306,426,7,11,70,131,43,59,,,,,,,H
n3kNZPtc,02.12.2023 16:00,Al Fateh,Al Taee,0,1,0.69,1.34,56%,44%,16,10,6,8,5,1,5,1,13,23,10,3,6,1,18,9,7,6,18,12,0,0,3,4,442,358,373,292,17,23,110,89,68,42,,,,,,,A
nRX9QL3q,01.12.2023 19:00,Al Hilal,Al Nassr,3,0,1.66,0.84,36%,64%,17,13,6,3,9,5,2,5,17,21,4,3,3,10,19,14,3,3,20,7,1,0,4,2,268,485,209,414,17,14,94,93,50,56,13,11,7,8,8,10,H
UoorV1eS,01.12.2023 16:00,Al Feiha,Damac,2,4,0.72,2.73,57%,43%,11,8,2,6,6,2,3,0,4,6,7,2,4,0,8,7,2,0,13,12,0,0,2,2,555,419,475,347,17,21,138,93,55,27,6,19,4,1,4,6,A
fThVX3B9,30.11.2023 19:00,Al Ittihad,Al Khaleej,4,2,3.29,1.29,53%,47%,13,16,4,6,8,9,1,1,7,17,2,3,0,0,14,13,4,0,17,11,0,0,2,1,408,358,348,305,13,15,92,79,37,29,15,13,2,3,7,14,H
tQQIOaYe,30.11.2023 16:00,Abha,Al Ahli SC,0,6,0.42,1.95,44%,56%,10,16,2,10,6,5,2,1,23,11,5,5,4,4,10,13,4,2,8,18,0,0,2,2,312,407,259,360,13,15,65,92,29,51,14,16,6,2,7,8,A
YJiZWNQF,30.11.2023 16:00,Al Riyadh,Al Hazem,0,0,0.06,1.13,51%,49%,3,15,0,8,2,3,1,4,14,10,3,4,1,0,17,17,8,0,9,15,0,0,2,1,532,504,459,434,12,10,105,126,36,63,27,15,3,3,7,12,D
67CzCMlj,25.11.2023 19:00,Al Ahli SC,Al Shabab,0,0,0.82,0.43,52%,48%,17,6,7,2,8,2,2,2,11,14,3,4,1,5,11,16,2,7,13,4,0,0,3,3,480,451,414,382,20,14,102,97,50,46,8,22,8,1,14,8,D
ANB5HrRS,25.11.2023 19:00,Al Fateh,Al Feiha,0,1,0.78,0.40,63%,37%,17,10,4,6,8,3,5,1,12,16,8,3,1,0,16,8,5,4,15,13,0,0,2,2,587,348,530,287,18,14,126,81,65,32,14,31,5,0,4,9,A
