id,date,home_team,away_team,home_goals,away_goals,status,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Blocked Shots_home,Blocked Shots_away,Completed Passes_home,Completed Passes_away,result
04S7c1mo,14.03.2019 16:45,Al-Faisaly,Al Qadisiya,3,0,,,,49%,51%,10,11,7,7,3,4,12,9,5,10,1,1,28,20,7,4,8,11,,,,,103,116,78,91,2,0,0,0,,,,,H
zuzM65Qb,09.03.2019 14:00,Al Hazem,Ohod,2,2,,,,47%,53%,16,8,11,4,5,4,15,12,5,12,1,1,28,35,2,9,11,14,,,,,103,112,56,87,2,2,0,0,,,,,D
EPoD8Ren,09.03.2019 13:40,Al Fateh,Al Batin,0,2,,,,54%,46%,11,6,5,5,6,1,11,11,10,3,3,1,26,18,3,5,8,10,,,,,124,95,103,53,3,2,0,0,,,,,A
bett2suU,08.03.2019 18:30,Al Hilal,Al Wehda,1,1,,,,67%,33%,10,4,7,3,3,1,19,18,7,3,4,2,31,20,2,6,14,17,,,,,111,101,80,61,2,5,0,0,,,,,D
jVxY33AH,08.03.2019 18:30,Al Ittihad,Al Feiha,2,0,,,,65%,35%,11,5,6,0,5,5,11,17,5,1,1,1,22,18,0,4,16,10,,,,,75,65,79,44,,,0,0,,,,,H
4Ytx3NPN,08.03.2019 16:40,Al Nassr,Al Ettifaq,3,2,,,,64%,36%,15,9,8,5,7,4,15,11,12,5,0,2,22,17,3,5,11,13,,,,,120,84,121,59,1,6,0,2,,,,,H
dlyI7oBh,08.03.2019 13:40,Al Qadisiya,Al Ahli SC,1,2,,,,47%,53%,8,9,4,5,4,4,12,13,4,4,3,1,16,19,3,3,10,11,,,,,105,123,65,77,2,1,0,0,,,,,A
86mT4qeB,07.03.2019 18:30,Al Taawon,Al Raed,2,1,,,,55%,45%,9,4,4,1,5,3,11,12,17,0,2,1,20,14,0,2,10,10,,,,,111,84,112,31,4,5,0,1,,,,,H
UFlP5Pu5,07.03.2019 16:40,Al Shabab,Al-Faisaly,2,1,,,,53%,47%,11,11,6,2,5,9,10,18,4,9,3,0,13,30,1,4,15,10,,,,,84,99,45,79,3,2,0,0,,,,,H
SYCfjptI,02.03.2019 14:00,Al Hazem,Al Feiha,0,1,,,,46%,54%,8,8,2,5,6,3,22,11,4,6,0,2,20,23,4,2,11,20,,,,,113,98,84,64,1,3,0,0,,,,,A
