id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Pass Success %_home,Pass Success %_away,Completed Passes_home,Completed Passes_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
fHbW0M6S,04.03.2021 16:45,Al Taawon,Al Batin,2,2,42%,58%,14,8,7,4,5,3,2,1,8,5,3,0,2,5,15,10,2,3,307,421,19,15,74,81,48,35,0,0,,,,,,,,,D
S47F4473,01.03.2021 14:05,Damac,Al Shabab,1,2,38%,62%,22,10,7,4,11,5,4,1,9,2,1,1,2,6,14,10,0,3,322,561,13,9,87,99,62,52,0,1,,,,,,,,,A
0faS12iM,28.02.2021 18:30,Al Nassr,Abha,2,2,77%,23%,20,5,7,4,8,1,5,0,11,1,0,3,2,5,12,18,2,1,718,219,9,22,84,64,52,24,0,0,,,,,,,,,D
lKeO2rxG,28.02.2021 16:20,Al Fateh,Al Hilal,2,5,44%,56%,21,10,5,8,7,2,9,0,9,5,4,1,3,3,7,16,3,1,314,420,16,15,62,61,41,37,0,0,,,,,,,,,A
6e6J3OM9,28.02.2021 16:15,Al Qadisiya,Al Ittihad,1,4,44%,56%,11,20,2,8,6,9,3,3,3,8,0,1,4,1,9,18,2,0,327,404,8,6,63,60,28,33,0,0,,,,,,,,,A
bV2B5phc,28.02.2021 14:00,Al Raed,Al Ain,4,0,50%,50%,11,4,8,1,2,3,1,0,4,2,2,2,1,4,12,10,0,3,435,428,18,17,71,64,36,25,0,0,,,,,,,,,H
Kv476Qxi,27.02.2021 18:30,Al-Faisaly,Al Ahli SC,2,1,50%,50%,21,17,9,7,5,5,7,5,6,4,0,0,6,7,19,19,2,4,420,434,13,13,68,54,44,31,0,0,,,,,,,,,H
23ZMbEJp,27.02.2021 16:15,Al Ettifaq,Al Taawon,0,3,63%,37%,15,11,3,5,8,4,4,2,3,5,1,1,2,3,14,14,2,0,502,299,10,18,99,84,46,27,0,0,,,,,,,,,A
A7BgGtkI,27.02.2021 13:50,Al Batin,Al Wehda,3,0,37%,63%,10,17,5,4,3,9,2,4,2,8,1,8,4,2,12,14,1,0,315,498,23,14,72,91,42,62,0,0,,,,,,,,,H
WGCkHMZB,23.02.2021 18:35,Al Nassr,Al Hilal,1,0,31%,69%,9,14,3,3,3,6,3,5,3,10,3,2,3,2,17,24,5,6,246,540,24,16,73,115,23,51,0,0,,,,,,,,,H
j5ehI2K5,23.02.2021 17:00,Al Ittihad,Al-Faisaly,1,3,40%,60%,8,24,1,5,6,8,1,11,3,8,2,0,2,0,16,9,2,2,327,478,18,8,77,77,43,44,0,0,,,,,,,,,A
