id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Throw-ins_home,Throw-ins_away,Pass Success %_home,Pass Success %_away,result
08zeFAKh,26.03.2016 15:00,Ascoli,L.R. Vicenza,1,2,50%,50%,13,5,7,4,6,1,16,20,4,3,2,1,2,6,18,15,0,1,1,4,,,,,A
29EJbpQA,26.03.2016 15:00,Avellino,Crotone,0,0,49%,51%,9,6,4,2,5,4,17,17,5,4,1,2,2,4,16,15,0,0,2,3,,,,,D
YeyitxAq,26.03.2016 15:00,Cesena,Latina,3,0,50%,50%,7,13,7,2,0,11,26,20,7,6,0,2,2,4,20,24,1,0,6,4,,,,,H
IqVaEUZb,26.03.2016 15:00,Como,Entella,1,1,55%,45%,18,10,8,6,10,4,26,24,7,2,2,6,5,7,22,20,0,1,3,2,,,,,D
naueudPk,26.03.2016 15:00,Lanciano,Perugia,0,1,48%,52%,8,11,3,3,5,8,18,13,4,4,3,0,2,3,10,18,0,0,3,0,,,,,A
UNUavGvd,26.03.2016 15:00,Livorno,Pro Vercelli,0,1,46%,54%,9,5,1,3,8,2,18,20,4,5,1,1,2,1,19,17,0,0,4,0,,,,,A
8ET3wzf2,26.03.2016 15:00,Modena,Cagliari,1,2,44%,56%,6,8,5,3,1,5,16,20,6,1,1,1,1,4,19,15,1,0,3,3,,,,,A
EBGk1wn9,26.03.2016 15:00,Spezia,Trapani,1,2,54%,46%,6,7,4,4,2,3,17,22,2,5,3,0,2,3,19,17,0,0,4,2,,,,,A
dz6f0c1F,26.03.2016 15:00,Ternana,Pescara,1,0,46%,54%,4,5,1,3,3,2,24,21,3,5,0,1,3,0,21,23,0,0,0,1,,,,,H
6sauoReB,21.03.2016 20:30,Avellino,Ternana,0,2,52%,48%,12,7,5,4,7,3,19,6,10,10,0,5,2,5,6,14,0,0,2,2,,,,,A
l6lppoBH,20.03.2016 17:30,Crotone,Pescara,4,2,47%,53%,9,16,8,9,1,7,8,23,5,8,2,1,7,4,21,7,0,0,7,2,,,,,H
pYJEaQA4,19.03.2016 15:00,L.R. Vicenza,Cagliari,0,2,45%,55%,4,8,2,5,2,3,22,15,5,3,1,2,3,2,14,20,1,0,3,6,,,,,A
Sdmlq5QN,19.03.2016 15:00,Lanciano,Cesena,2,0,47%,53%,11,13,4,5,7,8,13,16,5,9,1,1,5,2,15,12,1,1,3,2,,,,,H
dWihrPuU,19.03.2016 15:00,Latina,Brescia,2,2,49%,51%,11,14,8,9,3,5,19,19,3,2,4,1,7,6,15,18,0,0,3,4,,,,,D
