id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,result,Fouls_home,Fouls_away,Pass Success %_home,Pass Success %_away,Blocked Shots_home,Blocked Shots_away,Goal Kicks_home,Goal Kicks_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Completed Passes_home,Completed Passes_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away
Ik2sF58S,28.04.2015 20:30,Cittadella,Spezia,1,3,43%,57%,16.0,17.0,9.0,8.0,7.0,9.0,12.0,20.0,10.0,5.0,1.0,0.0,22.0,23.0,5.0,8.0,0,0,4.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,
hEapCHzi,28.04.2015 20:30,Crotone,Avellino,2,0,46%,54%,7.0,14.0,5.0,7.0,2.0,7.0,11.0,19.0,6.0,9.0,3.0,3.0,29.0,35.0,7.0,3.0,0,0,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,
Kbl9APGq,28.04.2015 20:30,Entella,Varese,0,1,56%,44%,19.0,5.0,6.0,2.0,13.0,3.0,19.0,18.0,5.0,0.0,3.0,1.0,25.0,27.0,1.0,6.0,1,0,3.0,4.0,A,,,,,,,,,,,,,,,,,,,,,,
APbZGRwG,28.04.2015 20:30,Latina,Perugia,0,0,41%,59%,4.0,17.0,1.0,10.0,3.0,7.0,18.0,22.0,3.0,7.0,2.0,0.0,25.0,20.0,10.0,1.0,1,1,6.0,6.0,D,,,,,,,,,,,,,,,,,,,,,,
S09UH7O9,28.04.2015 20:30,Livorno,Modena,1,1,50%,50%,19.0,7.0,8.0,5.0,11.0,2.0,11.0,22.0,9.0,4.0,0.0,2.0,31.0,27.0,4.0,7.0,0,0,2.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,
lGcwGogM,28.04.2015 20:30,Pescara,Pro Vercelli,1,0,47%,53%,9.0,8.0,5.0,2.0,4.0,6.0,20.0,13.0,6.0,8.0,2.0,2.0,31.0,43.0,2.0,4.0,0,0,3.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,
Ec5QIm93,28.04.2015 20:30,Ternana,Frosinone,0,1,53%,47%,10.0,7.0,6.0,1.0,4.0,6.0,14.0,18.0,10.0,2.0,1.0,2.0,39.0,33.0,0.0,6.0,0,0,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,
2NwE9qWk,28.04.2015 20:30,Trapani,Lanciano,1,0,50%,50%,7.0,10.0,3.0,4.0,4.0,6.0,17.0,15.0,9.0,5.0,0.0,0.0,25.0,21.0,4.0,2.0,0,0,2.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,
Kz6MJTgc,27.04.2015 20:30,Bologna,Catania,2,0,54%,46%,15.0,4.0,7.0,3.0,8.0,1.0,19.0,16.0,5.0,3.0,1.0,0.0,16.0,24.0,3.0,5.0,0,1,3.0,7.0,H,,,,,,,,,,,,,,,,,,,,,,
EN0tDcLp,25.04.2015 15:00,Avellino,Entella,1,1,56%,44%,12.0,12.0,6.0,6.0,6.0,6.0,19.0,24.0,11.0,3.0,4.0,3.0,26.0,17.0,5.0,5.0,0,0,4.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
WzTlNsqh,25.04.2015 15:00,Brescia,Cittadella,0,0,58%,42%,13.0,9.0,8.0,6.0,5.0,3.0,15.0,18.0,4.0,3.0,0.0,0.0,31.0,15.0,6.0,8.0,0,1,2.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,
K0PpONTo,25.04.2015 15:00,Frosinone,AC Carpi,1,0,51%,49%,15.0,10.0,3.0,2.0,12.0,8.0,19.0,21.0,4.0,3.0,3.0,0.0,21.0,23.0,2.0,2.0,0,0,4.0,4.0,H,,,,,,,,,,,,,,,,,,,,,,
6XNK54hi,25.04.2015 15:00,L.R. Vicenza,Varese,1,0,51%,49%,9.0,5.0,6.0,1.0,3.0,4.0,20.0,22.0,6.0,5.0,1.0,0.0,20.0,25.0,1.0,5.0,0,0,3.0,6.0,H,,,,,,,,,,,,,,,,,,,,,,
0GK5JarH,25.04.2015 15:00,Lanciano,Pescara,0,1,57%,43%,16.0,4.0,7.0,1.0,9.0,3.0,24.0,17.0,1.0,3.0,1.0,3.0,31.0,15.0,0.0,7.0,2,0,6.0,1.0,A,,,,,,,,,,,,,,,,,,,,,,
EaIgM1bb,25.04.2015 15:00,Modena,Crotone,3,0,54%,46%,12.0,10.0,8.0,4.0,4.0,6.0,17.0,18.0,3.0,6.0,0.0,0.0,20.0,15.0,4.0,5.0,0,1,2.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,
MPL1KuTA,25.04.2015 15:00,Perugia,Livorno,1,1,61%,39%,10.0,3.0,3.0,2.0,7.0,1.0,29.0,11.0,5.0,1.0,2.0,9.0,23.0,20.0,1.0,2.0,0,0,1.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
hjHcLLD4,25.04.2015 15:00,Pro Vercelli,Latina,1,1,52%,48%,12.0,13.0,6.0,8.0,6.0,5.0,18.0,24.0,9.0,6.0,0.0,0.0,28.0,30.0,7.0,5.0,1,0,4.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
drEEHwDT,25.04.2015 15:00,Spezia,Trapani,3,0,51%,49%,13.0,15.0,8.0,9.0,5.0,6.0,11.0,15.0,3.0,8.0,2.0,2.0,32.0,26.0,9.0,5.0,0,0,1.0,2.0,H,,,,,,,,,,,,,,,,,,,,,,
6cy3avio,24.04.2015 21:00,Bari,Bologna,1,1,48%,52%,15.0,8.0,8.0,3.0,7.0,5.0,19.0,25.0,5.0,6.0,2.0,0.0,26.0,14.0,2.0,7.0,1,2,4.0,5.0,D,,,,,,,,,,,,,,,,,,,,,,
ruAAIJcN,24.04.2015 19:00,Catania,Ternana,2,0,47%,53%,7.0,15.0,5.0,6.0,2.0,9.0,9.0,13.0,2.0,5.0,0.0,1.0,14.0,33.0,6.0,3.0,0,0,2.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,
Y5KQISi6,20.04.2015 20:30,Entella,Pro Vercelli,0,0,49%,51%,5.0,7.0,3.0,1.0,2.0,6.0,22.0,20.0,4.0,11.0,1.0,3.0,27.0,33.0,1.0,3.0,0,0,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,
4QS9MAhs,19.04.2015 15:00,Latina,Catania,1,2,55%,45%,14.0,17.0,9.0,9.0,5.0,8.0,13.0,17.0,7.0,4.0,2.0,0.0,32.0,30.0,7.0,8.0,0,0,3.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,
rHRDLU7m,19.04.2015 15:00,Livorno,Frosinone,0,0,51%,49%,11.0,7.0,5.0,2.0,6.0,5.0,20.0,13.0,4.0,4.0,0.0,4.0,25.0,26.0,2.0,5.0,0,0,2.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,
hn3e3mhJ,19.04.2015 15:00,Varese,Avellino,1,1,48%,52%,9.0,12.0,5.0,6.0,4.0,6.0,16.0,15.0,7.0,3.0,1.0,1.0,25.0,32.0,5.0,4.0,0,0,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
YstrRjpQ,18.04.2015 15:00,AC Carpi,Brescia,3,0,47%,53%,7.0,7.0,5.0,5.0,2.0,2.0,12.0,13.0,3.0,9.0,0.0,1.0,14.0,23.0,5.0,2.0,0,1,1.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,
CdJUHn7C,18.04.2015 15:00,Bologna,Spezia,0,0,47%,53%,14.0,12.0,5.0,4.0,9.0,8.0,18.0,14.0,5.0,9.0,2.0,2.0,23.0,21.0,4.0,5.0,0,0,2.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
UXDZG6MI,18.04.2015 15:00,Crotone,Lanciano,1,1,53%,47%,9.0,13.0,6.0,5.0,3.0,8.0,18.0,15.0,5.0,4.0,0.0,0.0,19.0,29.0,4.0,5.0,0,0,1.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,
QuHIKlNg,18.04.2015 15:00,Pescara,Modena,1,0,53%,47%,15.0,4.0,8.0,1.0,7.0,3.0,21.0,20.0,10.0,0.0,0.0,5.0,26.0,19.0,1.0,7.0,0,0,2.0,5.0,H,,,,,,,,,,,,,,,,,,,,,,
vqLMJ8x0,18.04.2015 15:00,Ternana,Perugia,0,0,45%,55%,5.0,14.0,2.0,6.0,3.0,8.0,10.0,21.0,2.0,4.0,5.0,1.0,28.0,32.0,6.0,2.0,1,0,4.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,
fisvSWUJ,18.04.2015 15:00,Trapani,Bari,1,1,54%,46%,7.0,9.0,3.0,4.0,4.0,5.0,20.0,14.0,6.0,4.0,2.0,1.0,27.0,22.0,3.0,2.0,0,0,3.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,
4SqxsLFj,17.04.2015 20:30,Cittadella,L.R. Vicenza,0,1,41%,59%,4.0,13.0,3.0,6.0,1.0,7.0,15.0,29.0,5.0,5.0,2.0,1.0,28.0,36.0,5.0,3.0,1,0,3.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,
jP7rkcX8,14.04.2015 18:00,Frosinone,Latina,1,0,54%,46%,6.0,11.0,3.0,3.0,3.0,8.0,23.0,20.0,3.0,3.0,2.0,0.0,25.0,31.0,3.0,2.0,0,2,7.0,3.0,H,,,,,,,,,,,,,,,,,,,,,,
