id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
GCI6kLCN,18.03.2023 14:00,Como,Parma,2,0,,,44%,56%,7,14,3,3,2,3,2,8,15,18,4,11,3,1,15,26,3,1,15,14,2,1,365,464,289,396,16,9,88,117,34,75,0,1,H
IJ31hNS4,18.03.2023 14:00,Frosinone,Cosenza,0,1,,,69%,31%,12,8,3,4,5,4,4,0,16,19,4,3,0,1,23,24,3,3,14,11,3,3,623,275,523,172,10,18,148,75,67,24,0,0,A
Ag0gfqbh,18.03.2023 14:00,Pisa,Benevento,2,0,,,46%,54%,9,5,4,1,4,2,1,2,23,22,1,2,1,3,20,27,1,2,19,22,2,6,324,390,226,291,29,19,106,117,37,22,0,1,H
ne9xpazo,18.03.2023 14:00,Sudtirol,Spal,2,0,,,28%,72%,12,17,5,2,5,11,2,4,13,27,6,4,1,0,18,13,2,3,27,12,2,3,220,587,151,517,16,18,82,153,31,81,0,0,H
xMJ2j1cH,17.03.2023 20:30,Palermo,Modena,5,2,,,56%,44%,16,13,8,4,5,7,3,2,14,16,7,5,2,5,15,15,2,3,14,9,2,1,445,354,358,270,7,10,51,51,35,41,0,0,H
bFWzx2rO,12.03.2023 16:15,Cosenza,Spal,1,0,,,40%,60%,24,16,8,3,8,10,8,3,16,23,6,3,2,2,22,20,3,7,21,13,5,3,314,502,235,429,11,11,70,133,56,39,0,0,H
lvCpd5Tu,12.03.2023 16:15,Genoa,Ternana,1,0,,,54%,46%,17,11,7,1,7,6,3,4,9,17,12,10,2,4,19,13,1,6,15,5,0,2,428,355,369,290,15,15,92,88,60,42,0,0,H
W2uKupqa,11.03.2023 16:15,Bari,Frosinone,0,0,,,40%,60%,5,10,1,2,2,5,2,3,12,14,3,1,0,0,8,13,2,1,14,11,4,2,392,604,320,535,15,12,62,134,23,47,0,0,D
ERpFtQTh,11.03.2023 14:00,Benevento,Como,0,0,,,47%,53%,3,16,2,5,0,6,1,5,17,14,7,3,2,0,16,18,5,2,12,17,5,4,330,367,248,302,19,10,97,84,50,58,1,0,D
AgvOv4b5,11.03.2023 14:00,Cittadella,Palermo,3,3,,,45%,55%,11,12,7,3,4,4,0,5,14,26,4,5,2,1,30,31,0,4,25,14,4,2,304,391,211,290,24,15,95,104,51,35,1,0,D
4GwSwODB,11.03.2023 14:00,Modena,Pisa,1,0,,,43%,57%,8,14,3,1,3,9,2,4,18,25,3,5,4,1,34,18,1,2,21,17,3,2,291,381,201,297,16,29,87,106,47,62,0,0,H
x6VvyMcU,11.03.2023 14:00,Parma,Sudtirol,0,0,,,76%,24%,22,3,1,1,13,1,8,1,12,10,13,3,0,4,24,16,1,1,10,9,2,2,703,228,634,138,16,19,183,66,98,22,0,0,D
zynBs6En,11.03.2023 14:00,Venezia,Brescia,1,1,,,53%,47%,11,19,4,5,4,7,3,7,14,14,4,5,1,3,23,32,4,3,13,11,2,2,437,386,342,288,21,21,100,122,32,57,0,0,D
