id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
bVOik0Hu,05.04.2021 15:00,Ascoli,L.R. Vicenza,2,1,52%,48%,13,13,4,4,5,6,4,3,7,3,1,2,3,2,17,22,0,0,4,4,349,329,11,23,104,98,44,50,,,,,H
6eSamvnh,05.04.2021 15:00,Cittadella,Reggio Calabria,1,1,45%,55%,11,14,3,3,5,5,3,6,4,8,0,2,2,2,22,15,0,0,2,1,315,371,17,11,110,97,46,60,,,,,D
OE7unUkI,05.04.2021 15:00,Cosenza,Cremonese,0,1,51%,49%,11,19,5,8,4,7,2,4,7,7,1,0,7,5,14,21,0,0,1,2,427,423,10,18,92,115,49,52,,,,,A
xMNelKWo,05.04.2021 15:00,Monza,Pescara,1,1,58%,42%,19,18,3,5,11,8,5,5,11,5,1,1,4,2,12,12,0,0,,,543,386,12,14,130,81,49,41,,,,,D
WvBmp8KU,05.04.2021 15:00,Pisa,Lecce,0,1,46%,54%,16,7,4,2,7,3,5,2,2,5,0,5,1,4,12,13,0,0,3,4,366,435,13,12,106,96,36,45,,,,,A
SAG8oIG4,05.04.2021 12:30,Pordenone,Entella,3,0,45%,55%,9,11,5,1,2,5,2,5,3,8,3,1,1,2,14,20,0,1,2,3,338,401,19,10,86,101,55,50,,,,,H
YNDedEDP,02.04.2021 19:00,Brescia,Pordenone,4,1,63%,37%,20,8,7,3,7,4,6,1,8,3,1,2,2,3,13,8,0,0,3,0,597,361,4,7,147,91,62,35,,,,,H
QLhzkW5a,02.04.2021 19:00,Chievo,Spal,1,1,44%,56%,11,16,5,2,5,7,1,7,9,6,1,1,1,4,16,14,0,0,3,2,379,469,10,14,86,143,35,46,,,,,D
6HL9YALI,02.04.2021 19:00,Entella,Monza,1,1,49%,51%,10,18,2,2,3,13,5,3,3,7,0,1,1,1,17,15,0,0,2,3,395,387,19,15,102,107,39,57,,,,,D
Q7D1zXj6,02.04.2021 19:00,L.R. Vicenza,Cittadella,1,0,39%,61%,11,12,6,3,2,7,3,2,3,7,2,1,3,5,15,14,0,0,4,1,287,417,21,14,97,128,29,80,,,,,H
WbgWkCjg,02.04.2021 19:00,Lecce,Salernitana,2,0,67%,33%,15,7,7,0,4,4,4,3,7,4,5,0,0,5,7,6,0,1,,,601,286,6,11,119,93,47,39,,,,,H
IekSjhym,02.04.2021 19:00,Venezia,Reggio Calabria,0,2,59%,41%,13,5,3,2,4,2,6,1,4,3,1,3,0,3,15,21,0,0,1,3,442,312,13,22,104,90,68,30,,,,,A
zXaNiYLt,02.04.2021 17:00,Frosinone,Reggiana,0,0,55%,45%,10,15,1,4,4,6,5,5,8,7,1,1,4,1,19,13,0,0,2,2,412,345,12,9,114,76,47,42,,,,,D
p8KDXUzP,02.04.2021 17:00,Pescara,Pisa,3,1,42%,58%,15,14,5,2,4,7,6,5,3,8,1,2,1,2,14,13,0,0,2,3,308,409,13,12,91,98,45,65,,,,,H
WpEcyDy0,02.04.2021 15:00,Cosenza,Ascoli,2,1,43%,57%,13,8,6,3,5,3,2,2,2,3,3,4,2,4,16,13,0,0,1,3,322,436,20,11,100,90,40,41,,,,,H
G84FOZif,21.03.2021 21:00,Salernitana,Brescia,1,0,40%,60%,21,4,5,0,11,3,5,1,7,3,3,0,0,4,14,13,0,0,1,3,319,492,18,13,101,112,57,41,,,,,H
bXgKNg70,21.03.2021 15:00,Reggio Calabria,Chievo,1,1,54%,46%,5,17,4,6,1,7,0,4,3,12,6,1,5,3,20,10,0,0,3,2,408,354,12,12,116,81,53,44,12,26,,,D
xOhOMDM6,20.03.2021 18:00,Spal,Cittadella,1,0,43%,57%,6,16,2,3,3,8,1,5,2,6,1,4,3,1,16,18,0,0,2,2,331,427,19,19,83,144,42,81,,,,,H
zJKlwZ6m,20.03.2021 16:00,Monza,Venezia,1,4,63%,37%,13,12,3,5,7,2,3,5,6,5,1,2,1,2,21,20,0,0,2,3,581,338,16,18,168,58,69,38,,,,,A
hfFgxgMg,20.03.2021 14:00,Empoli,Entella,1,0,52%,48%,26,5,8,1,10,3,8,1,13,1,2,4,1,7,15,17,0,0,1,3,415,403,8,19,118,103,81,29,,,,,H
QqVEqyUJ,20.03.2021 14:00,Frosinone,Lecce,0,3,56%,44%,14,19,4,7,7,7,3,5,9,4,0,0,4,4,18,11,0,0,2,1,454,355,11,16,113,89,57,33,,,,,A
vmZIreqQ,20.03.2021 14:00,L.R. Vicenza,Pescara,1,0,55%,45%,16,4,3,1,10,1,3,2,7,0,1,2,1,2,20,15,0,0,3,2,524,421,19,11,120,91,52,31,,,,,H
plhSLXyD,20.03.2021 14:00,Reggiana,Cosenza,1,1,53%,47%,13,9,5,4,3,1,5,4,5,7,2,1,3,4,16,8,0,0,1,2,487,440,16,16,98,96,53,29,,,,,D
OviWKiiJ,19.03.2021 21:00,Ascoli,Cremonese,0,0,55%,45%,13,12,2,5,6,7,5,0,2,5,4,2,5,2,7,15,0,0,2,1,525,424,11,21,125,109,37,46,,,,,D
d6C8SrgS,16.03.2021 21:00,Pescara,Ascoli,2,3,39%,61%,9,18,3,8,3,6,3,4,3,5,0,0,5,1,12,17,1,0,2,4,333,512,16,9,74,147,32,43,,,,,A
WIwvrOhF,16.03.2021 19:00,Brescia,Reggio Calabria,1,0,50%,50%,13,9,5,3,7,5,1,1,9,4,2,3,3,4,12,16,0,0,0,3,410,406,10,17,113,94,61,43,,,,,H
Sl3vNMGk,16.03.2021 19:00,Chievo,Frosinone,0,0,54%,46%,5,12,0,1,4,7,1,4,3,2,1,3,1,0,17,20,0,0,2,1,462,400,16,17,123,96,46,36,,,,,D
8r17QeNs,16.03.2021 19:00,Cittadella,Salernitana,0,0,56%,44%,14,12,4,2,9,8,1,2,6,4,3,3,2,4,16,14,0,0,2,3,391,300,16,19,104,98,43,54,,,,,D
zipVqpO2,16.03.2021 19:00,Empoli,Pordenone,1,0,74%,26%,26,1,3,0,10,1,13,0,13,0,2,1,0,2,13,7,0,1,4,3,571,212,8,18,142,65,143,9,,,,,H
EsqZr4w9,16.03.2021 19:00,Monza,Reggiana,2,0,53%,47%,16,5,3,0,10,4,3,1,4,0,0,1,0,1,21,15,0,0,0,1,473,434,15,15,118,104,40,34,,,,,H
MmdmL0o2,16.03.2021 17:00,Cosenza,L.R. Vicenza,1,1,52%,48%,10,12,3,6,3,4,4,2,4,4,2,1,5,2,12,13,0,1,2,4,444,410,17,14,116,117,48,45,,,,,D
ADhqMtWe,16.03.2021 17:00,Venezia,Lecce,2,3,52%,48%,15,5,3,3,6,1,6,1,6,5,2,2,0,1,9,18,0,0,2,6,438,420,9,12,108,86,57,38,,,,,A
lb4zO21q,16.03.2021 16:00,Entella,Cremonese,0,2,47%,53%,11,15,2,5,6,7,3,3,9,6,9,3,3,2,15,16,0,0,3,2,355,408,9,12,69,103,38,54,,,,,A
250BPFxl,15.03.2021 21:00,Pisa,Spal,3,0,47%,53%,22,6,7,2,10,2,5,2,5,6,1,1,2,4,22,13,0,0,3,2,355,394,16,22,117,98,37,36,,,,,H
Ot2993nj,13.03.2021 18:00,L.R. Vicenza,Empoli,0,2,54%,46%,10,17,2,8,6,5,2,4,4,9,2,3,6,2,12,17,0,0,3,2,524,448,11,22,108,118,42,61,,,,,A
UJ25AqXq,13.03.2021 16:00,Salernitana,Cosenza,0,0,52%,48%,15,5,5,2,8,3,2,0,3,3,1,0,2,5,21,14,0,1,1,4,386,367,11,9,113,75,67,45,,,,,D
ziOaU4OF,13.03.2021 14:00,Ascoli,Venezia,1,1,44%,56%,17,24,4,11,6,8,7,5,7,14,2,2,10,3,22,12,1,0,5,1,298,376,16,8,68,93,37,47,,,,,D
MmKeVp99,13.03.2021 14:00,Cremonese,Reggiana,3,0,60%,40%,21,12,9,3,9,4,3,5,5,9,2,1,3,6,11,13,0,1,1,3,565,368,17,14,139,53,51,32,,,,,H
AZLYF59M,13.03.2021 14:00,Frosinone,Brescia,0,1,48%,52%,13,11,1,5,12,1,0,5,7,2,2,2,4,1,12,21,0,0,4,4,402,445,16,13,106,115,61,41,,,,,A
hbBwFPOS,13.03.2021 14:00,Lecce,Chievo,4,2,46%,54%,11,10,4,4,3,5,4,1,2,4,0,2,2,0,13,10,0,0,5,3,409,479,15,22,88,121,45,45,,,,,H
lzMmX6vc,13.03.2021 14:00,Pordenone,Pescara,0,0,40%,60%,12,15,1,7,5,5,6,3,12,3,0,1,7,1,16,14,0,0,4,2,282,445,25,11,116,80,49,29,,,,,D
2X0D8N1d,13.03.2021 14:00,Reggio Calabria,Monza,1,0,33%,67%,12,6,6,2,6,2,0,2,7,6,3,2,2,5,23,16,0,0,3,4,253,549,11,14,78,114,37,24,,,,,H
IFD4TOwM,12.03.2021 21:00,Spal,Entella,0,0,62%,38%,22,6,3,1,10,3,9,2,10,3,6,1,1,3,10,13,0,0,0,1,514,332,19,8,127,79,92,39,,,,,D
SQKiWQg3,12.03.2021 19:00,Cittadella,Pisa,2,0,48%,52%,11,17,3,1,5,7,3,9,8,4,2,2,1,1,22,13,1,0,5,3,295,320,14,15,98,91,60,64,,,,,H
UJQDKTfi,08.03.2021 19:00,Chievo,L.R. Vicenza,1,2,60%,40%,14,3,3,3,7,0,4,0,5,4,8,0,1,2,9,21,0,0,2,4,519,351,16,19,129,115,43,26,,,,,A
GGxWepIj,07.03.2021 21:00,Reggiana,Lecce,0,4,43%,57%,5,20,0,8,3,7,2,5,1,4,0,0,4,0,16,12,1,0,5,1,392,514,6,6,80,126,22,58,,,,,A
dWea16fT,07.03.2021 15:00,Empoli,Cittadella,1,1,52%,48%,15,26,3,11,8,12,4,3,7,6,5,2,10,2,9,22,0,0,1,2,425,388,14,20,80,113,41,59,,,,,D
tfUHJmAc,06.03.2021 18:00,Monza,Pordenone,2,0,61%,39%,16,17,6,0,6,10,4,7,4,4,0,3,0,4,17,19,1,0,3,2,540,320,12,12,103,114,33,79,,,,,H
