id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,result
OQsU9rkS,09.04.2022 14:00,Alessandria,Pordenone,2,0,45%,55%,17,7,6,4,7,2,4,1,5,7,1,1,4,4,15,10,0,0,4,2,291,358,184,238,32,17,117,111,45,43,,,,,H
EBl120s2,09.04.2022 14:00,Como,Cittadella,1,2,50%,50%,10,14,2,4,7,6,1,4,1,7,0,2,2,1,18,23,2,0,4,4,396,381,287,291,17,12,78,128,19,84,,,,,A
OtWiPNlF,09.04.2022 14:00,Lecce,Spal,1,0,49%,51%,17,12,5,1,10,8,2,3,6,7,1,0,1,4,18,17,0,0,2,3,314,320,224,241,12,7,81,96,41,42,,,,,H
pM3idPKS,06.04.2022 19:00,Cittadella,Perugia,0,0,49%,51%,11,7,1,2,6,5,4,0,6,4,0,2,2,1,11,9,0,0,1,0,395,419,291,303,12,15,126,96,77,45,,,,,D
llaNj3rj,06.04.2022 19:00,L.R. Vicenza,Crotone,1,1,48%,52%,11,7,3,1,3,4,5,2,9,4,3,1,0,2,11,8,0,1,3,5,354,412,254,313,16,13,123,101,48,38,,,,,D
SvbRkNcd,06.04.2022 19:00,Monza,Ascoli,2,0,47%,53%,9,12,4,3,2,6,3,3,5,4,2,2,3,2,20,18,0,0,3,1,366,411,271,322,24,14,97,109,29,30,,,,,H
fojDDQk3,06.04.2022 19:00,Pisa,Brescia,0,0,41%,59%,5,13,4,2,1,6,0,5,2,4,0,3,2,4,19,13,1,0,1,3,328,461,236,361,15,18,89,133,30,70,,,,,D
Gfi9E6zc,06.04.2022 14:00,Parma,Como,4,3,53%,47%,15,12,7,6,3,6,5,0,2,1,0,3,3,3,18,11,0,0,3,3,444,399,372,326,11,18,80,105,55,38,,,,,H
6P9IiqTq,05.04.2022 19:00,Cremonese,Alessandria,2,1,37%,63%,12,13,6,3,4,9,2,1,6,2,1,3,2,4,20,11,1,0,4,2,265,450,171,358,7,13,86,97,47,35,,,,,H
xAuICp59,05.04.2022 19:00,Pordenone,Frosinone,2,0,36%,64%,14,15,7,2,3,11,4,2,9,7,2,1,2,5,12,13,0,0,1,2,302,543,197,461,18,18,57,157,25,82,,,,,H
jDqMB4KF,05.04.2022 19:00,Reggio Calabria,Benevento,0,3,45%,55%,9,14,5,8,3,4,1,2,5,5,1,1,5,5,17,19,0,0,2,2,394,493,317,418,12,21,86,106,40,38,,,,,A
tMG7mRff,05.04.2022 19:00,Spal,Cosenza,2,2,69%,31%,15,8,6,3,3,4,6,1,5,1,2,3,1,4,13,10,0,2,2,5,490,220,388,130,9,14,140,49,84,26,,,,,D
pzqQAOZL,05.04.2022 19:00,Ternana,Lecce,1,4,53%,47%,14,14,3,5,6,6,5,3,6,4,1,0,1,2,13,12,0,0,3,3,440,386,323,272,16,19,153,110,56,40,,,,,A
