id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,result
drEEHwDT,25.04.2015 15:00,Spezia,Trapani,3,0,51%,49%,13,15,8,9,5,6,11,15,3,8,2,2,32,26,9,5,0,0,1,2,H
6cy3avio,24.04.2015 21:00,Bari,Bologna,1,1,48%,52%,15,8,8,3,7,5,19,25,5,6,2,0,26,14,2,7,1,2,4,5,D
ruAAIJcN,24.04.2015 19:00,Catania,Ternana,2,0,47%,53%,7,15,5,6,2,9,9,13,2,5,0,1,14,33,6,3,0,0,2,3,H
Y5KQISi6,20.04.2015 20:30,Entella,Pro Vercelli,0,0,49%,51%,5,7,3,1,2,6,22,20,4,11,1,3,27,33,1,3,0,0,1,1,D
4QS9MAhs,19.04.2015 15:00,Latina,Catania,1,2,55%,45%,14,17,9,9,5,8,13,17,7,4,2,0,32,30,7,8,0,0,3,2,A
rHRDLU7m,19.04.2015 15:00,Livorno,Frosinone,0,0,51%,49%,11,7,5,2,6,5,20,13,4,4,0,4,25,26,2,5,0,0,2,3,D
hn3e3mhJ,19.04.2015 15:00,Varese,Avellino,1,1,48%,52%,9,12,5,6,4,6,16,15,7,3,1,1,25,32,5,4,0,0,2,2,D
YstrRjpQ,18.04.2015 15:00,AC Carpi,Brescia,3,0,47%,53%,7,7,5,5,2,2,12,13,3,9,0,1,14,23,5,2,0,1,1,1,H
CdJUHn7C,18.04.2015 15:00,Bologna,Spezia,0,0,47%,53%,14,12,5,4,9,8,18,14,5,9,2,2,23,21,4,5,0,0,2,2,D
UXDZG6MI,18.04.2015 15:00,Crotone,Lanciano,1,1,53%,47%,9,13,6,5,3,8,18,15,5,4,0,0,19,29,4,5,0,0,1,3,D
QuHIKlNg,18.04.2015 15:00,Pescara,Modena,1,0,53%,47%,15,4,8,1,7,3,21,20,10,0,0,5,26,19,1,7,0,0,2,5,H
vqLMJ8x0,18.04.2015 15:00,Ternana,Perugia,0,0,45%,55%,5,14,2,6,3,8,10,21,2,4,5,1,28,32,6,2,1,0,4,3,D
fisvSWUJ,18.04.2015 15:00,Trapani,Bari,1,1,54%,46%,7,9,3,4,4,5,20,14,6,4,2,1,27,22,3,2,0,0,3,2,D
4SqxsLFj,17.04.2015 20:30,Cittadella,L.R. Vicenza,0,1,41%,59%,4,13,3,6,1,7,15,29,5,5,2,1,28,36,5,3,1,0,3,2,A
