id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Clearances Completed_home,Clearances Completed_away,Crosses Completed_home,Crosses Completed_away,Red Cards_home,Red Cards_away,result
CUpDiF0P,03.02.2024 16:15,Lecco,Cremonese,0,1,0.98,1.06,43%,57%,8,7,1,3,6,2,1,2,18,16,5,6,3,3,28,21,2,1,14,16,2,3,280,382,190,288,24,14,80,100,41,57,13,18,14,14,0,0,A
4SPipXha,03.02.2024 16:15,Sampdoria,Modena,2,2,0.70,2.25,47%,53%,10,17,5,3,2,9,3,5,14,18,3,4,1,0,21,15,1,3,19,14,3,4,380,414,291,328,19,13,61,83,17,44,17,10,9,15,0,0,D
0fJ0rBNB,03.02.2024 16:15,Ternana,Como,0,1,0.42,2.28,37%,63%,7,28,1,7,4,7,2,14,15,26,1,6,4,0,22,21,6,1,14,19,1,2,288,486,179,380,14,17,78,117,35,60,16,20,13,25,0,0,A
zgTEzvic,03.02.2024 14:00,Brescia,Cittadella,2,0,1.91,0.72,43%,57%,15,16,9,3,4,7,2,6,19,19,5,6,1,1,24,26,3,7,16,17,2,3,268,354,188,270,25,6,84,97,41,70,21,19,22,29,0,0,H
bDsWSVNO,03.02.2024 14:00,Cosenza,Pisa,1,1,0.49,1.12,57%,43%,8,11,2,2,3,6,3,3,12,12,4,5,0,0,21,19,1,1,14,14,5,3,471,353,374,257,25,9,115,111,34,41,31,21,17,18,0,1,D
d2MqngOn,03.02.2024 14:00,Parma,Venezia,2,1,1.40,0.89,48%,52%,15,14,6,5,3,6,6,3,12,8,11,5,2,1,11,17,4,4,10,6,2,2,419,451,346,372,17,17,99,80,60,38,16,26,22,26,0,0,H
A5QmoDwg,03.02.2024 14:00,Reggiana,FeralpiSalo,1,1,1.80,0.22,73%,27%,27,5,4,2,10,1,13,2,15,14,11,2,1,1,12,17,1,3,14,13,2,3,656,239,587,168,14,11,144,73,101,28,8,30,36,14,0,2,D
rJOeqi85,03.02.2024 14:00,Spezia,Catanzaro,1,1,1.24,1.10,43%,57%,15,10,5,2,6,6,4,2,17,16,6,3,0,3,13,11,1,4,14,18,2,5,371,517,297,446,11,6,89,57,51,20,6,19,23,8,0,0,D
EwXvmZ8t,02.02.2024 20:30,Palermo,Bari,3,0,1.14,0.39,49%,51%,18,11,9,2,5,6,4,3,9,18,4,8,1,1,24,9,2,6,8,16,3,2,356,364,291,294,11,21,89,95,43,31,16,16,20,12,0,0,H
xzBzvdWP,28.01.2024 16:15,Cittadella,Sampdoria,1,2,1.50,0.37,51%,49%,9,7,1,2,4,5,4,0,21,23,2,1,4,1,25,16,0,0,18,15,4,2,350,345,249,220,22,16,104,103,45,21,8,21,25,8,0,0,A
OfTmGhvJ,27.01.2024 16:15,Bari,Reggiana,0,2,0.66,0.56,55%,45%,11,11,2,2,5,3,4,6,12,22,6,3,3,0,16,16,0,2,14,17,2,2,438,365,366,288,18,13,100,96,56,47,4,25,30,9,0,0,A
Y5d6YZgm,27.01.2024 16:15,FeralpiSalo,Lecco,5,1,1.69,0.78,47%,53%,11,12,7,7,2,3,2,2,14,13,1,7,1,1,31,27,6,2,12,12,3,1,427,460,317,340,14,17,113,115,40,58,18,5,5,22,0,0,H
UXkFWDOa,27.01.2024 16:15,Pisa,Spezia,2,3,3.06,1.12,66%,34%,27,6,12,3,6,2,9,1,14,16,14,0,3,3,20,16,0,10,16,14,6,3,491,259,408,175,11,19,126,58,60,28,9,31,33,6,0,0,A
fFc2ZFvs,27.01.2024 14:00,Como,Ascoli,0,2,0.61,0.55,53%,47%,9,14,5,2,3,5,1,7,18,18,2,8,1,1,21,25,0,5,18,16,2,4,381,327,290,222,14,11,65,98,28,65,31,15,17,30,1,0,A
MkuXBfEd,27.01.2024 14:00,Cremonese,Brescia,1,0,0.74,0.19,67%,33%,10,5,3,1,5,3,2,1,16,26,6,3,2,3,21,21,1,2,12,24,3,0,555,275,475,190,14,13,121,79,55,28,8,22,31,9,0,0,H
