id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Completed Passes_home,Completed Passes_away,Throw-ins_home,Throw-ins_away,result
t2MuFyXO,15.04.2019 21:00,Livorno,Brescia,0,1,14,10,3,4,11,6,19,23,6,2,1,3,3,3,22,17,0,0,2,4,414,395,3,28,118,121,60,44,,,,,,,A
l8q7VdH5,14.04.2019 21:00,Benevento,Palermo,1,2,17,16,8,6,9,10,29,22,8,4,1,1,4,7,21,28,0,0,3,5,317,399,13,13,110,115,39,30,,,,,,,A
EkifYbXn,14.04.2019 15:00,Padova,Cosenza,0,0,15,16,4,5,11,11,11,22,3,7,1,0,5,4,21,11,0,0,2,1,403,546,15,5,106,136,29,68,,,,,,,D
URIyGHHI,14.04.2019 15:00,Spezia,Ascoli,3,2,19,9,9,5,10,4,14,20,4,2,3,1,3,6,17,14,0,2,2,2,567,312,7,2,118,119,69,24,,,,,,,H
z5u3Wx2a,13.04.2019 18:00,Venezia,Foggia,1,0,8,22,1,8,7,14,11,21,2,8,2,2,8,0,16,10,0,0,3,2,307,520,18,1,77,134,33,68,,,,,,,H
htjbXIng,13.04.2019 15:00,Crotone,Cremonese,0,0,9,8,2,4,7,4,18,23,6,5,5,5,4,2,18,12,0,0,2,3,676,320,11,12,139,102,61,33,,,,,,,D
r70OwL9P,13.04.2019 15:00,Lecce,AC Carpi,4,1,26,9,11,4,15,5,14,13,7,4,3,4,3,7,9,10,1,0,3,2,680,265,9,12,136,85,74,42,,,,,,,H
pGnjZvIt,13.04.2019 15:00,Salernitana,Cittadella,4,2,15,10,7,6,8,4,12,13,8,6,1,1,4,3,14,13,0,0,3,2,331,489,1,0,91,96,58,42,,,,,,,H
rVrBUGWB,12.04.2019 21:00,Pescara,Perugia,1,1,15,10,3,2,12,8,17,19,5,7,1,2,1,2,18,15,0,1,4,2,422,490,1,6,70,58,27,12,,,,,,,D
nuopQ1uQ,08.04.2019 21:00,Palermo,Verona,1,0,20,6,6,2,14,4,16,22,5,4,1,0,2,5,21,16,1,0,4,3,416,489,8,0,120,123,67,42,,,,,,,H
