id,date,home_team,away_team,home_goals,away_goals,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Ball Possession_home,Ball Possession_away,Throw-ins_home,Throw-ins_away,result
W0KOTW64,17.04.2018 20:30,Pro Vercelli,Pescara,3,1,24,11,7,6,17,5,10,28,8,3,2,2,5,4,26,8,0,1,2,5,392,344,14,1,104,98,104,55,53%,47%,,,H
WStdSJVa,17.04.2018 20:30,Spezia,Brescia,0,1,14,7,4,3,10,4,22,18,6,2,3,4,2,4,15,18,0,0,2,1,222,119,3,2,196,124,157,77,63%,37%,,,A
vgp4Qc0C,17.04.2018 20:30,Ternana,Foggia,2,2,15,13,4,7,11,6,11,19,4,5,6,1,5,2,13,10,0,0,2,3,304,605,17,13,88,115,71,92,40%,60%,,,D
vRNWRAyH,17.04.2018 20:30,Venezia,Entella,2,0,10,16,2,5,8,11,10,25,4,4,7,2,5,0,19,8,0,0,1,4,372,502,8,5,117,143,61,91,47%,53%,,,H
QmkOVhxh,16.04.2018 20:30,Ascoli,Parma,0,1,10,21,4,5,6,16,19,14,4,7,0,5,4,4,14,14,0,0,2,1,490,388,16,10,107,89,95,74,48%,52%,,,A
hxMMDKG6,14.04.2018 15:00,Brescia,AC Carpi,1,1,12,3,5,1,7,2,25,14,8,1,2,4,0,4,12,20,0,0,2,3,461,255,10,14,123,78,95,28,64%,36%,,,D
tb2HZ1wQ,14.04.2018 15:00,Empoli,Pro Vercelli,3,2,12,10,7,4,5,6,10,8,7,2,0,2,2,4,8,8,0,0,2,2,636,262,16,17,106,77,64,43,61%,39%,,,H
dASDFtnf,14.04.2018 15:00,Entella,Avellino,1,1,18,4,6,2,12,2,22,27,9,2,1,0,1,5,26,22,0,0,3,2,401,251,6,6,122,102,92,57,50%,50%,,,D
bwkqVLos,14.04.2018 15:00,Frosinone,Spezia,1,1,5,9,2,2,3,7,18,13,9,7,2,2,1,1,11,15,0,0,0,3,365,368,10,10,103,85,81,66,51%,49%,,,D
ADhmUu1m,14.04.2018 15:00,Novara,Ternana,0,3,24,10,7,6,17,4,17,20,6,2,3,0,3,7,17,17,0,0,1,2,430,348,20,18,109,110,111,72,54%,46%,,,A
273DzrOJ,14.04.2018 15:00,Palermo,Cremonese,1,1,14,13,6,2,8,11,15,12,7,5,1,4,1,5,11,11,0,0,2,2,515,344,11,24,122,96,87,53,55%,45%,,,D
hxrhTaGg,14.04.2018 15:00,Perugia,Venezia,1,1,20,16,5,6,15,10,16,17,9,6,0,2,5,4,16,15,0,0,1,1,428,426,11,19,98,116,61,62,42%,58%,,,D
vZHIE010,14.04.2018 15:00,Pescara,Bari,2,2,19,10,6,2,13,8,14,21,7,1,4,1,0,4,18,13,1,0,3,3,474,463,18,17,95,112,88,62,51%,49%,,,D
naLQCvWC,14.04.2018 15:00,Salernitana,Cesena,1,1,15,7,6,4,9,3,17,14,7,3,2,4,3,5,12,14,0,0,2,2,495,315,4,21,112,104,97,77,52%,48%,,,D
QkKUBboJ,13.04.2018 21:00,Parma,Cittadella,0,0,11,8,5,4,6,4,25,16,4,1,2,0,4,5,15,24,0,0,2,2,390,432,9,19,109,105,50,41,57%,43%,,,D
IJT9GMWm,13.04.2018 19:00,Foggia,Ascoli,3,0,12,7,8,2,4,5,17,12,5,6,2,4,2,5,10,13,0,1,,,428,303,9,8,158,129,111,85,57%,43%,,,H
CIlVN4vE,09.04.2018 20:30,Avellino,Perugia,2,0,11,10,3,1,8,9,20,12,3,4,2,0,1,1,10,20,0,0,2,3,383,453,30,20,119,125,64,70,52%,48%,,,H
AgU5H2Hs,08.04.2018 17:30,Cesena,Entella,3,0,16,8,12,3,4,5,20,22,7,4,0,0,3,9,22,20,0,0,2,1,335,432,12,29,97,97,88,63,53%,47%,,,H
bF0maL1D,08.04.2018 17:30,Pro Vercelli,Novara,0,0,14,16,7,9,7,7,19,25,6,1,2,2,9,7,20,17,0,0,2,3,390,312,8,13,103,96,86,79,47%,53%,,,D
Q7D08PvR,08.04.2018 15:00,Venezia,Brescia,1,2,17,6,5,2,12,4,17,12,6,2,1,5,0,4,11,13,0,0,1,4,515,379,14,25,99,95,71,47,59%,41%,,,A
WljT3qmr,07.04.2018 15:00,Ascoli,AC Carpi,2,0,9,5,3,4,6,1,30,19,0,4,2,5,4,1,17,24,0,0,1,3,465,274,25,10,137,130,46,50,56%,44%,,,H
8prvMr9Q,07.04.2018 15:00,Bari,Salernitana,1,1,13,6,6,5,7,1,17,22,6,7,3,3,4,5,18,13,0,0,2,3,454,391,12,3,112,106,63,63,52%,48%,,,D
2m7v1sX0,07.04.2018 15:00,Cremonese,Foggia,0,4,11,16,6,11,5,5,22,19,6,4,4,5,7,6,13,19,0,0,1,2,344,483,29,16,106,94,69,49,52%,48%,,,A
QLhZMOgK,07.04.2018 15:00,Palermo,Pescara,1,1,18,12,11,5,7,7,12,15,6,3,4,2,4,10,11,11,0,0,2,1,445,390,27,14,90,103,73,69,46%,54%,,,D
KO1q01n7,07.04.2018 15:00,Parma,Frosinone,2,0,10,10,5,3,5,7,19,24,4,4,1,1,3,3,21,20,0,0,1,2,346,388,11,10,100,89,79,83,48%,52%,,,H
Od8z2NHf,07.04.2018 15:00,Spezia,Empoli,1,1,10,9,7,5,3,4,15,10,2,3,1,1,4,6,9,13,0,0,0,1,278,728,14,19,92,143,62,85,43%,57%,,,D
UZ8W232l,07.04.2018 15:00,Ternana,Cittadella,5,1,14,7,8,2,6,5,9,24,7,6,7,2,2,3,17,7,0,2,3,2,416,442,25,21,100,110,82,70,53%,47%,,,H
dj41WAAC,03.04.2018 18:00,Brescia,Entella,0,0,17,9,5,1,12,8,20,26,4,7,3,2,1,5,23,18,0,0,1,2,425,357,21,4,120,102,93,74,50%,50%,,,D
MXBlZCQg,03.04.2018 18:00,Pro Vercelli,Perugia,0,2,11,13,3,6,8,7,15,17,5,4,2,0,4,3,15,15,0,0,4,1,471,375,11,10,118,103,95,75,53%,47%,,,A
