id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,Blocked Shots_home,Blocked Shots_away,Goal Kicks_home,Goal Kicks_away,result
G4WNfC1F,26.03.2017 15:00,Spal,Frosinone,0,2,47%,53%,9,8,5,3,4,5,22,18,3,1,1,0,1,5,17,22,5,3,0,0,,,,,,,A
82kXXlf2,26.03.2017 15:00,Ternana,Avellino,4,1,47%,53%,8,10,5,4,3,6,20,22,2,3,1,5,3,1,21,15,4,1,0,0,,,,,,,H
QwMclAvq,26.03.2017 12:30,Verona,Pisa,1,1,56%,44%,8,5,5,2,3,3,24,28,5,1,2,4,1,4,26,20,6,4,0,0,,,,,,,D
GSEAo8O1,25.03.2017 20:30,Benevento,Trapani,1,3,60%,40%,10,5,2,3,8,2,20,12,6,2,1,4,0,1,11,16,2,3,0,0,,,,,,,A
M5F6nl9e,25.03.2017 18:00,Cittadella,Spezia,1,0,51%,49%,12,9,7,3,5,6,26,28,3,9,1,1,3,6,27,25,3,4,0,0,,,,,,,H
KxHqsgXF,20.03.2017 20:30,Entella,Salernitana,0,1,54%,46%,11,8,3,2,8,6,16,13,8,7,4,0,1,3,9,16,1,5,0,1,,,,,,,A
YqcKziAq,19.03.2017 17:30,Cesena,Ternana,1,0,56%,44%,8,6,4,1,4,5,36,22,5,1,1,0,1,3,21,36,2,4,0,0,,,,,,,H
216ltDnM,18.03.2017 15:00,AC Carpi,Spal,1,4,43%,57%,15,11,8,8,7,3,7,19,13,6,0,1,4,7,19,6,2,2,0,0,,,,,,,A
6FQkLBAd,18.03.2017 15:00,Ascoli,Cittadella,2,1,54%,46%,9,7,6,3,3,4,23,22,8,6,3,6,2,4,19,17,4,2,0,1,,,,,,,H
tnIurZH9,18.03.2017 15:00,Avellino,Novara,1,1,49%,51%,9,8,6,6,3,2,20,17,10,3,7,1,5,5,10,19,0,5,0,0,,,,,,,D
G4AhuX1S,18.03.2017 15:00,Brescia,Spezia,1,1,52%,48%,9,8,5,4,4,4,26,13,1,7,0,1,3,4,13,25,1,3,0,0,,,,,,,D
CzdOZAPk,18.03.2017 15:00,Frosinone,L.R. Vicenza,3,1,49%,51%,8,4,4,2,4,2,22,22,2,4,0,3,1,1,22,19,3,0,0,0,,,,,,,H
nB3xqF23,18.03.2017 15:00,Pisa,Latina,1,1,59%,41%,3,8,1,4,2,4,29,20,3,2,1,2,3,0,19,27,1,2,0,0,,,,,,,D
8K4Yqemc,18.03.2017 15:00,Pro Vercelli,Verona,1,1,45%,55%,6,11,3,3,3,8,22,20,1,11,7,2,2,2,13,20,3,3,0,0,,,,,,,D
bkNsNXup,18.03.2017 15:00,Trapani,Bari,4,0,52%,48%,15,4,12,2,3,2,15,15,7,3,1,3,2,8,14,12,2,3,0,0,,,,,,,H
hCMoMiej,17.03.2017 20:30,Perugia,Benevento,3,1,47%,53%,13,7,6,2,7,5,19,12,1,2,2,6,1,3,10,13,2,2,1,0,,,,,,,H
CftWRMRB,13.03.2017 20:30,Verona,Ascoli,0,0,61%,39%,14,3,7,1,7,2,11,14,11,2,2,0,1,7,12,11,2,1,0,0,,,,,,,D
6ir3UFmA,12.03.2017 17:30,L.R. Vicenza,Pisa,2,1,55%,45%,9,6,4,3,5,3,20,19,6,2,0,2,2,2,19,18,5,2,1,0,,,,,,,H
0Es7TZ2G,12.03.2017 15:00,Novara,Pro Vercelli,0,0,55%,45%,13,4,4,2,9,2,13,22,7,2,2,5,2,4,20,8,2,2,0,1,,,,,,,D
v5tBSgIM,12.03.2017 15:00,Ternana,Trapani,2,1,53%,47%,9,11,5,4,4,7,22,19,4,4,3,1,3,3,16,21,2,5,0,0,,,,,,,H
pnc88YQj,11.03.2017 18:00,Latina,AC Carpi,0,1,49%,51%,12,12,7,4,5,8,18,18,6,5,3,1,3,7,15,17,3,2,0,0,,,,,,,A
ChkfWyJc,11.03.2017 15:00,Bari,Frosinone,1,0,42%,58%,6,8,3,5,3,3,16,25,6,4,2,1,5,2,23,15,4,2,0,0,,,,,,,H
