id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Throw-ins_home,Throw-ins_away,Goal Kicks_home,Goal Kicks_away,result
CI8AxSkj,26.06.2020 21:00,Chievo,Spezia,1,3,50%,50%,10,15,2,6,8,9,18,14,6,5,1,1,3,1,14,17,1,2,461,452,14,19,88,109,43,34,0,0,,,,,A
OhzNoWS3,26.06.2020 21:00,Cremonese,Cosenza,0,2,64%,36%,20,13,2,5,18,8,15,24,6,5,1,1,3,2,21,14,1,3,548,344,15,11,139,71,67,40,0,1,,,,,A
juxFmhbi,26.06.2020 21:00,Empoli,Benevento,0,0,56%,44%,11,13,4,4,7,9,15,21,7,1,3,0,4,4,17,15,2,1,518,417,10,16,102,99,38,35,0,0,,,,,D
UgJ5w8zp,26.06.2020 21:00,Entella,Salernitana,1,0,33%,67%,9,7,5,2,4,5,19,17,5,4,0,3,2,4,16,18,2,3,308,539,17,11,84,97,54,35,0,0,,,,,H
UVzJnCDc,26.06.2020 21:00,Frosinone,Cittadella,0,2,48%,52%,21,10,9,3,12,7,24,15,9,5,2,0,2,9,17,24,2,7,395,397,20,9,81,109,50,45,0,0,,,,,A
KKTVqAcG,26.06.2020 21:00,Juve Stabia,Livorno,2,3,56%,44%,19,11,3,3,16,8,28,20,5,4,1,3,0,1,22,27,6,2,423,361,11,20,115,82,35,40,2,1,,,,,A
xdvRpjrA,26.06.2020 21:00,Perugia,Crotone,0,0,29%,71%,7,16,5,5,2,11,18,17,3,12,3,1,5,5,14,16,3,3,303,592,22,10,78,145,32,77,1,0,,,,,D
bBSZrUCM,26.06.2020 21:00,Pisa,Pescara,2,1,41%,59%,13,8,4,3,9,5,21,13,8,3,0,1,2,2,16,20,2,6,400,526,19,7,97,128,38,54,0,1,,,,,H
4xHvP8Lj,26.06.2020 21:00,Venezia,Ascoli,2,1,60%,40%,14,16,3,6,11,10,30,14,7,4,1,13,5,1,12,17,2,4,478,366,8,13,98,112,44,42,0,0,,,,,H
SpXwrlSS,26.06.2020 18:45,Trapani,Pordenone,3,0,48%,52%,16,10,6,1,10,9,19,21,4,3,3,2,1,3,19,17,2,3,436,453,12,21,96,120,66,31,0,0,,,,,H
Cvx0WjTG,21.06.2020 20:30,Ascoli,Perugia,0,1,46%,54%,12,14,2,3,10,11,21,21,2,5,1,4,2,2,20,17,4,2,408,463,21,9,103,105,50,57,0,0,,,,,A
