id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
INTvTna9,11.03.2017 14:00,Ankaraspor,Bursaspor,1,1,49%,51%,9,9,6,6,3,3,13,15,13,3,1,2,29,20,5,5,14,11,1,3,0,0,,,D
MezWU8Ud,11.03.2017 11:30,Kardemir Karabuk,Adanaspor AS,2,0,47%,53%,3,5,2,2,1,3,23,19,2,4,3,4,19,23,2,0,16,19,2,4,0,0,,,H
nspLCRES,10.03.2017 18:00,Alanyaspor,Fenerbahce,2,3,48%,52%,7,7,2,3,5,4,21,19,2,2,0,4,28,11,0,0,19,17,6,1,0,0,,,A
vHKsa8pT,06.03.2017 18:00,Antalyaspor,Galatasaray,2,3,43%,57%,9,7,5,4,4,3,18,25,4,4,9,2,23,16,1,3,16,16,2,4,0,1,,,A
lSm0Hk0c,06.03.2017 17:00,Genclerbirligi,Akhisarspor,2,0,49%,51%,8,6,4,3,4,3,19,20,5,7,0,3,32,27,3,2,20,16,0,2,0,0,,,H
AykdIVpi,05.03.2017 17:00,Fenerbahce,Ankaraspor,1,0,53%,47%,13,10,9,5,4,5,17,22,7,4,4,1,29,28,7,8,13,13,4,4,0,1,,,H
dhi8FTU9,05.03.2017 17:00,Kayserispor,Kasimpasa,2,2,53%,47%,5,9,3,4,2,5,16,17,2,3,1,3,22,26,2,1,16,13,3,4,0,0,,,D
0QLw0lVM,05.03.2017 14:00,Adanaspor AS,Konyaspor,0,1,60%,40%,10,4,5,3,5,1,13,18,2,3,2,1,35,33,2,5,16,12,2,0,0,0,,,A
I1h4G9F3,05.03.2017 11:30,Basaksehir,Alanyaspor,2,1,47%,53%,9,9,4,5,5,4,12,22,1,4,3,0,23,18,4,2,19,12,1,1,0,0,,,H
dd79fShp,04.03.2017 17:00,Besiktas,Rizespor,1,0,65%,35%,13,1,4,0,9,1,14,12,7,4,0,0,19,19,0,3,12,14,3,3,0,0,,,H
