id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,Free Kicks_home,Free Kicks_away,result
0zZoGxZ4,11.04.2021 18:00,Erzurumspor,Besiktas,2,4,46%,54%,12,10,4,6,6,3,2,1,3,2,1,1,2,2,16,19,341,409,23,14,94,109,70,71,1,2,0,0,,,A
6DZsHIJb,11.04.2021 15:00,Ankaragucu,Genclerbirligi,2,1,52%,48%,15,12,5,6,4,4,6,2,5,3,1,1,5,3,14,20,413,373,13,23,104,77,72,47,4,4,0,0,,,H
4SV2CfYT,11.04.2021 15:00,Kayserispor,Antalyaspor,0,1,62%,38%,13,5,5,3,3,1,5,1,7,3,3,1,2,5,9,10,611,381,7,15,97,61,84,31,2,4,0,0,,,A
EwwjFdlB,11.04.2021 12:30,Sivasspor,Konyaspor,3,1,42%,58%,9,13,6,5,3,7,0,1,2,5,1,0,4,3,15,15,363,508,9,17,77,90,55,86,1,2,1,0,,,H
SMzvIb4h,10.04.2021 18:00,Galatasaray,Karagumruk,1,1,47%,53%,17,9,4,7,9,2,4,0,3,9,2,2,6,3,15,15,412,475,15,21,85,67,67,55,5,2,1,0,,,D
d2SfEG3H,10.04.2021 15:00,Rizespor,Trabzonspor,0,0,40%,60%,12,17,3,7,6,6,3,4,2,7,0,0,7,3,13,10,376,584,14,13,63,84,35,38,4,3,0,1,,,D
8KKxKKZu,10.04.2021 12:30,Hatayspor,Goztepe,2,3,60%,40%,16,16,3,7,10,8,3,1,5,2,4,3,4,1,8,15,437,287,10,25,138,94,90,60,2,4,0,0,,,A
lGmC3aka,08.04.2021 18:00,Yeni Malatyaspor,Fenerbahce,1,1,26%,74%,8,14,1,4,3,8,4,2,4,7,5,4,3,0,14,15,204,581,11,15,86,96,52,80,,,0,0,,,D
xKIWNTzE,08.04.2021 15:00,Denizlispor,Kasimpasa,1,1,51%,49%,15,13,6,3,4,5,5,5,1,2,0,0,2,5,9,16,445,415,11,16,78,79,51,53,2,0,0,0,,,D
zXkO0cZH,08.04.2021 15:00,Gaziantep,Basaksehir,2,0,28%,72%,6,16,2,5,4,8,0,3,2,13,4,7,5,0,8,3,245,592,13,17,104,164,57,147,1,1,0,0,,,H
86u45LKn,07.04.2021 18:00,Antalyaspor,Sivasspor,2,4,54%,46%,12,11,7,8,4,3,1,0,1,1,2,4,4,5,5,10,502,425,20,15,101,96,67,46,3,3,0,0,,,A
02ZmapbD,07.04.2021 18:00,Besiktas,Alanyaspor,3,0,48%,52%,17,13,7,6,7,6,3,1,4,5,1,1,6,4,14,11,392,430,21,21,104,125,76,74,2,2,0,0,,,H
IeuTaHlO,07.04.2021 15:00,Genclerbirligi,Erzurumspor,1,1,27%,73%,6,23,2,5,3,11,1,7,4,8,2,0,4,1,17,8,225,578,21,21,83,138,59,129,2,2,0,0,,,D
S6nG2J45,07.04.2021 15:00,Konyaspor,Ankaragucu,1,1,55%,45%,11,11,3,5,5,4,3,2,4,4,3,0,4,2,14,9,496,410,13,13,87,81,75,67,2,1,0,0,,,D
6ib74uzg,06.04.2021 18:00,Trabzonspor,Kayserispor,1,1,75%,25%,28,5,11,2,12,2,5,1,7,4,0,0,1,10,7,11,724,232,12,15,129,69,106,47,1,4,0,0,,,D
dtiK1wKB,06.04.2021 15:00,Goztepe,Rizespor,2,0,51%,49%,11,8,4,0,4,7,3,1,5,1,2,3,0,2,15,11,491,477,20,19,98,95,66,61,2,2,0,1,,,H
Eqt0615t,06.04.2021 15:00,Karagumruk,Hatayspor,1,0,64%,36%,9,10,3,4,4,4,2,2,10,3,1,1,4,2,16,10,559,310,13,6,89,89,66,48,1,1,0,0,,,H
Slyt16T0,05.04.2021 18:00,Fenerbahce,Denizlispor,1,0,65%,35%,20,3,2,1,11,2,7,0,13,1,1,0,1,1,13,23,501,287,15,15,109,82,98,44,1,0,0,0,,,H
Mmd18lyR,04.04.2021 18:00,Kasimpasa,Besiktas,1,0,35%,65%,11,16,4,2,4,9,3,5,2,5,0,2,2,3,13,9,358,643,23,11,124,181,59,126,3,1,0,0,,,H
EoXy2nEf,04.04.2021 15:00,Alanyaspor,Genclerbirligi,1,2,71%,29%,16,10,8,3,4,1,4,6,7,4,1,1,1,7,13,14,613,242,6,18,106,76,102,43,1,4,0,0,,,A
MBzp0Qr7,04.04.2021 15:00,Ankaragucu,Antalyaspor,1,0,41%,59%,9,13,3,3,3,5,3,5,3,9,0,0,3,2,10,13,357,525,14,6,107,87,70,78,2,4,0,0,,,H
0Y7hAA6E,04.04.2021 15:00,Basaksehir,Yeni Malatyaspor,3,1,55%,45%,11,8,7,2,2,2,2,4,7,3,0,1,1,4,12,11,465,375,26,9,77,98,64,58,2,1,0,0,,,H
hWrT38qr,04.04.2021 12:30,Erzurumspor,Konyaspor,1,2,57%,43%,14,14,3,7,7,4,4,3,4,6,1,0,5,2,15,13,450,342,26,18,92,108,94,80,2,2,0,0,,,A
WMsX2Sbl,03.04.2021 18:00,Hatayspor,Galatasaray,3,0,37%,63%,8,12,6,4,1,5,1,3,5,7,1,2,4,3,19,10,261,450,21,19,70,89,47,61,5,2,1,0,,,H
nV3lBji8,03.04.2021 15:00,Rizespor,Karagumruk,0,0,28%,72%,7,14,2,2,4,5,1,7,5,7,1,3,2,2,17,17,229,601,11,9,70,89,45,84,3,2,1,0,,,D
rccc9ULK,03.04.2021 15:00,Sivasspor,Trabzonspor,0,0,44%,56%,11,12,1,3,7,7,3,2,7,9,2,1,3,1,15,8,303,409,24,21,92,78,73,70,3,2,0,0,,,D
