id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Expected Goals (xG)_home,Expected Goals (xG)_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,result
dlsE8CR5,29.04.2023 18:00,Sivasspor,Fenerbahce,1,3,53%,47%,10,7,3,4,7,3,,,,,3,1,9,1,,,1,2,9,19,134,122,78,65,0,1,0,4,,,,,,,,,A
plnYHG4J,29.04.2023 15:00,Karagumruk,Antalyaspor,0,1,69%,31%,4,8,2,2,2,6,,,,,5,5,2,1,,,1,2,14,10,110,69,50,41,0,0,1,0,,,,,,,,,A
rPR8BEsm,29.04.2023 15:00,Konyaspor,Trabzonspor,2,1,62%,38%,12,8,5,3,7,5,,,,,6,5,1,1,,,2,3,13,17,116,107,83,61,0,1,2,2,,,,,,,,,H
OvoxHzKP,28.04.2023 19:00,Alanyaspor,Umraniyespor,1,0,37%,63%,8,13,4,6,4,7,,,,,4,6,2,2,,,6,3,11,13,81,146,39,87,0,0,0,2,,,,,,,,,H
4KmWceDm,24.04.2023 19:00,Antalyaspor,Sivasspor,1,2,69%,31%,21,9,7,3,11,5,3,1,20,13,14,4,3,3,30,15,1,6,12,16,103,95,82,40,0,0,0,2,1.62,2.32,550,268,440,171,19,23,A
zJ4segc6,24.04.2023 19:00,Fenerbahce,Istanbulspor AS,3,3,73%,27%,15,7,5,4,6,2,4,1,20,16,6,1,3,6,19,19,1,2,14,14,131,95,107,49,0,0,3,4,2.06,1.52,659,241,579,163,23,17,D
xYovdZs0,24.04.2023 16:00,Giresunspor,Basaksehir,2,4,52%,48%,25,14,8,6,12,5,5,3,23,16,9,1,2,3,26,14,2,6,14,20,141,102,103,38,0,0,2,3,2.76,2.65,423,410,348,334,11,21,A
jD7e4czK,23.04.2023 19:00,Gaziantep,Alanyaspor,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,A
rBnzcFSg,23.04.2023 19:00,Hatayspor,Ankaragucu,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,A
pz7a3HkQ,23.04.2023 18:00,Galatasaray,Karagumruk,3,3,65%,35%,24,7,9,3,8,2,7,2,12,16,5,4,2,0,26,14,0,6,14,14,132,70,110,42,0,0,0,3,4.04,1.31,565,311,470,214,11,14,D
dYhjgXRI,23.04.2023 15:00,Adana Demirspor,Kayserispor,5,3,39%,61%,16,14,6,3,7,7,3,4,16,12,5,3,3,3,12,10,0,1,8,13,77,109,58,64,0,1,2,3,2.51,1.65,382,608,329,553,12,18,H
