id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
fJJpUsXN,17.02.2024 11:30,Antalyaspor,Istanbulspor AS,2,2,1.70,2.18,49%,51%,14,12,5,8,7,1,2,3,19,10,6,6,1,2,26,22,6,3,11,16,2,2,106,97,45,36,0,0,D
SKg0WXDi,16.02.2024 18:00,Kasimpasa,Karagumruk,1,1,0.56,1.40,41%,59%,7,16,4,5,1,7,2,4,12,20,3,11,3,0,19,25,4,3,17,12,2,1,81,127,31,54,0,0,D
QwSTXPXb,12.02.2024 18:00,Kayserispor,Besiktas,0,0,1.06,0.18,53%,47%,14,6,4,1,6,2,4,3,12,19,7,3,2,3,36,21,1,4,17,9,3,0,106,93,45,29,0,0,D
nmTPY5Ih,12.02.2024 18:00,Samsunspor,Antalyaspor,2,0,0.84,0.52,40%,60%,11,11,6,2,3,6,2,3,10,20,3,2,2,2,25,39,2,4,18,8,2,2,103,114,36,50,0,0,H
G6q6IpYB,12.02.2024 15:00,Trabzonspor,Hatayspor,2,0,1.94,1.01,60%,40%,23,11,11,2,5,6,7,3,10,13,10,5,3,1,18,19,2,9,10,9,2,1,122,60,77,30,0,0,H
jPyJFrIU,11.02.2024 17:00,Fenerbahce,Alanyaspor,2,2,1.98,0.55,69%,31%,21,5,8,3,4,2,9,0,21,13,9,0,4,3,30,14,1,6,10,20,3,5,128,57,114,16,0,0,D
SpDOzSmt,11.02.2024 14:00,Istanbulspor AS,Gaziantep,1,3,0.85,1.57,51%,49%,3,8,1,5,1,3,1,0,13,15,3,3,3,2,23,21,2,0,14,12,4,2,115,132,40,43,1,0,A
K0RXWqm5,11.02.2024 14:00,Konyaspor,Ankaragucu,1,0,0.68,0.48,51%,49%,14,9,1,1,7,6,6,2,7,16,4,2,1,1,23,18,1,0,15,6,3,1,109,104,39,37,0,0,H
Y3VyW32B,11.02.2024 11:30,Sivasspor,Rizespor,1,0,0.65,1.30,41%,59%,7,17,2,5,3,10,2,2,11,17,0,6,2,1,13,26,5,1,15,10,1,1,68,123,28,44,0,0,H
6yCSZo3n,10.02.2024 17:00,Galatasaray,Basaksehir,2,0,1.16,0.64,54%,46%,18,9,7,1,7,3,4,5,17,18,7,3,2,6,8,17,1,5,13,11,2,2,101,84,42,38,0,0,H
fcrAH4mI,10.02.2024 14:00,Karagumruk,Pendikspor,2,0,1.46,0.36,52%,48%,12,8,6,1,1,2,5,5,18,16,6,9,5,1,27,42,1,4,11,17,1,0,93,103,18,46,0,0,H
xMXEGO2O,09.02.2024 18:00,Adana Demirspor,Kasimpasa,1,3,1.82,1.99,58%,42%,23,13,4,7,10,5,9,1,15,18,7,4,4,4,22,15,4,3,15,11,5,3,128,66,40,33,0,0,A
EsmkMSYn,04.02.2024 17:00,Besiktas,Trabzonspor,2,0,0.53,1.49,45%,55%,9,13,3,2,3,8,3,3,12,23,6,6,1,1,20,24,2,1,22,11,3,0,82,96,34,55,0,0,H
6wsZFiCD,04.02.2024 14:00,Kasimpasa,Alanyaspor,2,1,1.98,0.56,47%,53%,19,7,7,3,6,3,6,1,15,13,7,9,3,7,14,22,3,5,10,8,0,4,86,78,58,40,0,0,H
