id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Goal Kicks_home,Goal Kicks_away,result
CxPDzbfl,21.03.2015 12:30,Mersin,Gaziantepspor,0,1,52%,48%,18,8,7,3,11,5,11,24,12,1,6,1,32,23,2,7,18,11,0,0,4,1,,,A
6aOHZH9f,20.03.2015 19:00,Balikesirspor,Eskisehirspor,4,1,43%,57%,10,17,8,7,2,10,17,18,0,12,1,3,25,30,6,4,17,10,0,0,2,0,,,H
pSvZst2E,20.03.2015 19:00,Kardemir Karabuk,Konyaspor,0,1,64%,36%,8,6,3,4,5,2,27,21,4,0,6,4,30,20,3,3,14,20,0,0,1,3,,,A
KQ40TtmL,16.03.2015 19:00,Gaziantepspor,Trabzonspor,2,0,,,,,,,,,,,,,,,,,,,,,0,0,,,,,H
Em44S02R,15.03.2015 19:00,Genclerbirligi,Fenerbahce,2,1,51%,49%,10,22,7,8,3,14,19,18,3,10,2,0,21,25,7,5,14,20,0,0,3,2,,,H
GdjWNKAr,15.03.2015 15:00,Besiktas,Kayseri Erciyesspor,5,1,52%,48%,17,7,5,1,12,6,18,13,7,3,1,6,22,22,0,0,11,15,0,0,2,3,,,H
4W1nKxA7,15.03.2015 13:00,Eskisehirspor,Mersin,2,0,44%,56%,14,3,6,1,8,2,22,10,7,1,0,2,25,38,1,4,10,20,0,0,1,2,,,H
ObBiV2I8,14.03.2015 18:00,Galatasaray,Basaksehir,2,2,57%,43%,12,15,5,6,7,9,15,13,5,3,2,1,34,22,4,3,13,13,0,0,4,5,,,D
6N0dUMXE,14.03.2015 15:00,Rizespor,Sivasspor,2,1,43%,57%,20,17,7,7,13,10,21,11,5,7,0,3,15,35,6,5,11,17,0,0,2,2,,,H
COquMbue,14.03.2015 12:30,Akhisarspor,Kardemir Karabuk,5,1,42%,58%,12,15,5,5,7,10,15,26,3,6,5,1,23,24,4,0,22,13,0,0,2,1,,,H
YXpyNvQl,13.03.2015 19:00,Bursaspor,Balikesirspor,4,2,57%,43%,28,6,12,3,16,3,14,20,6,4,3,1,27,24,1,8,15,13,0,0,3,2,,,H
6oqqLIf1,13.03.2015 19:00,Konyaspor,Kasimpasa,2,1,43%,57%,13,15,6,4,7,11,13,22,4,6,5,2,27,28,3,4,15,11,1,0,6,1,,,H
UyjIG33F,09.03.2015 19:00,Mersin,Trabzonspor,1,5,47%,53%,19,16,10,7,9,9,27,15,10,4,1,3,29,19,2,9,13,23,0,0,4,1,,,A
Q3qREsYR,08.03.2015 18:00,Fenerbahce,Galatasaray,1,0,59%,41%,20,10,4,4,16,6,18,13,8,4,2,2,20,14,4,3,12,15,0,0,0,4,,,H
joiEHql9,08.03.2015 15:00,Kardemir Karabuk,Gaziantepspor,0,0,66%,34%,10,2,3,0,7,2,30,16,5,2,0,11,30,24,0,3,15,21,0,0,1,2,,,D
nDpNFNIL,08.03.2015 13:00,Sivasspor,Besiktas,0,1,48%,52%,16,8,1,2,15,6,16,20,5,1,2,1,29,16,1,1,19,13,0,0,1,3,,,A
rqWhA1tq,08.03.2015 12:00,Basaksehir,Konyaspor,0,0,58%,42%,15,6,5,3,10,3,18,23,7,4,2,2,24,30,3,5,18,13,0,0,1,1,,,D
vBP18uBe,07.03.2015 18:00,Eskisehirspor,Bursaspor,0,0,52%,48%,9,5,1,0,8,5,22,29,10,3,4,2,26,24,0,1,26,20,0,0,2,3,,,D
I1O57aQ1,07.03.2015 15:00,Balikesirspor,Rizespor,2,2,48%,52%,11,19,4,9,7,10,14,20,4,7,2,3,28,32,7,2,15,11,0,0,2,2,,,D
p8CmWr32,07.03.2015 12:30,Kayseri Erciyesspor,Genclerbirligi,2,4,49%,51%,7,13,3,7,4,6,24,13,5,3,2,2,21,24,3,1,11,21,1,0,2,3,,,A
dnzc9Lek,06.03.2015 19:00,Kasimpasa,Akhisarspor,2,2,42%,58%,13,13,6,2,7,11,19,18,2,4,0,3,15,26,1,4,16,15,0,0,3,4,,,D
zFvsJy8G,02.03.2015 19:00,Trabzonspor,Kardemir Karabuk,3,2,54%,46%,10,14,4,7,6,7,34,23,2,7,2,1,22,23,5,1,19,31,0,0,4,3,,,H
pll6J5Jd,01.03.2015 18:00,Besiktas,Balikesirspor,2,2,63%,37%,21,14,9,4,12,10,17,10,9,3,0,4,16,13,2,7,11,12,1,0,,,,,D
WtYkHFxT,01.03.2015 15:00,Bursaspor,Mersin,2,1,53%,47%,18,15,6,4,12,11,22,12,4,3,0,2,31,26,3,4,13,19,1,0,0,3,,,H
thuwKHhA,01.03.2015 12:00,Akhisarspor,Basaksehir,0,2,50%,50%,4,7,1,2,3,5,20,21,3,1,2,2,25,24,1,1,16,17,0,0,4,2,,,A
