id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,result
4p9FPBod,08.04.2018 18:00,Fenerbahce,Ankaraspor,2,0,58%,42%,12,6,3,1,9,5,13,14,9,2,0,2,32,19,1,1,14,11,1,2,124,88,109,51,0,0,,,H
8IVpq0nH,08.04.2018 15:00,Alanyaspor,Akhisarspor,3,1,51%,49%,16,4,8,3,8,1,19,16,8,6,1,0,26,23,2,5,15,18,4,2,96,93,85,70,0,0,,,H
QgABQiWk,08.04.2018 15:00,Bursaspor,Kasimpasa,0,1,51%,49%,8,4,3,1,5,3,15,21,9,0,4,2,31,23,0,3,16,13,2,2,109,84,100,40,0,0,,,A
h6kAog8F,08.04.2018 12:30,Konyaspor,Sivasspor,5,0,59%,41%,12,6,7,4,5,2,5,17,4,8,4,1,25,21,4,2,13,4,2,0,93,73,60,56,0,1,,,H
prgERXGq,07.04.2018 18:00,Besiktas,Goztepe,5,1,55%,45%,17,10,10,7,7,3,12,26,3,5,3,1,16,20,6,5,21,11,1,6,145,121,59,52,0,1,,,H
MufEpDNL,07.04.2018 15:00,Trabzonspor,Kayserispor,4,0,54%,46%,12,7,7,3,5,4,13,16,6,3,3,1,18,18,3,3,13,12,1,2,126,97,91,64,0,0,,,H
EFj6nZh9,07.04.2018 12:30,Kardemir Karabuk,Antalyaspor,1,2,42%,58%,7,8,4,4,3,4,15,21,3,4,3,0,21,15,2,3,18,15,1,0,108,130,59,91,0,0,,,A
Wj11mFw3,06.04.2018 19:00,Basaksehir,Yeni Malatyaspor,1,0,61%,39%,6,7,2,4,4,3,14,20,5,4,4,0,22,27,4,1,16,14,1,1,112,71,84,37,0,0,,,H
A3ZPmOXo,02.04.2018 19:00,Kayserispor,Fenerbahce,0,5,47%,53%,8,12,3,7,5,5,9,10,7,4,1,0,25,15,2,3,9,9,2,2,48,51,37,37,0,0,,,A
4MMHqCLU,01.04.2018 18:00,Galatasaray,Trabzonspor,2,1,65%,35%,11,7,6,5,5,2,20,19,4,1,2,6,27,15,4,4,17,14,2,3,74,57,46,21,0,0,,,H
KYK5nEyC,01.04.2018 15:00,Akhisarspor,Basaksehir,1,2,36%,64%,9,10,4,5,5,5,14,22,2,5,3,3,14,27,3,3,19,11,1,1,84,119,35,68,1,0,,,A
vwvUnrmh,01.04.2018 12:30,Ankaraspor,Konyaspor,0,0,48%,52%,7,6,3,4,4,2,9,14,3,4,1,2,26,30,4,3,13,7,1,0,113,101,54,43,0,0,,,D
WCzMl4Iu,01.04.2018 12:30,Goztepe,Kasimpasa,0,2,54%,46%,19,6,9,3,10,3,12,16,14,1,1,3,23,22,1,9,15,9,4,1,118,108,118,48,1,0,,,A
hnJDph6O,31.03.2018 18:00,Besiktas,Alanyaspor,1,0,60%,40%,7,7,2,2,5,5,17,24,6,2,3,0,16,15,2,1,21,17,5,2,158,103,98,62,0,0,,,H
bPJ9oYjI,31.03.2018 15:00,Antalyaspor,Bursaspor,2,0,43%,57%,6,5,2,0,4,5,18,23,1,7,3,3,22,28,0,0,20,15,2,1,82,108,63,91,0,0,,,H
0hSxoMH4,31.03.2018 12:30,Yeni Malatyaspor,Genclerbirligi,4,1,56%,44%,8,4,7,3,1,1,16,17,7,4,2,3,21,14,2,3,15,13,1,1,58,45,39,21,0,0,,,H
ITxYo22b,30.03.2018 19:00,Sivasspor,Kardemir Karabuk,1,0,57%,43%,9,6,4,2,5,4,16,17,10,1,2,1,14,24,2,3,15,15,3,3,81,67,67,42,0,0,,,H
YHYqixNt,18.03.2018 17:00,Basaksehir,Besiktas,1,0,44%,56%,5,12,2,2,3,10,16,25,3,10,3,3,12,22,2,1,22,13,5,4,86,127,42,79,1,0,,,H
2cQ0mfM5,18.03.2018 14:00,Trabzonspor,Yeni Malatyaspor,4,1,59%,41%,11,11,8,7,3,4,18,13,4,3,1,2,16,22,6,4,12,16,2,1,114,115,47,64,0,0,,,H
dxeSYf7C,18.03.2018 11:30,Alanyaspor,Goztepe,1,1,52%,48%,10,3,4,2,6,1,23,18,8,1,2,1,32,21,1,3,16,21,1,4,98,96,76,53,0,0,,,D
O6Rdlz7a,18.03.2018 11:30,Konyaspor,Kayserispor,2,0,55%,45%,7,1,3,0,4,1,13,13,6,4,0,0,32,30,0,1,13,13,2,2,108,95,55,49,1,1,,,H
IiqyXYyP,17.03.2018 17:00,Fenerbahce,Galatasaray,0,0,50%,50%,8,10,6,5,2,5,21,20,10,3,4,6,20,18,5,6,16,15,2,3,97,93,60,45,0,0,,,D
v1pXXEMI,17.03.2018 14:00,Bursaspor,Sivasspor,1,0,58%,42%,10,8,4,6,6,2,20,16,3,5,1,2,26,26,6,3,15,18,3,2,124,115,82,68,0,0,,,H
W8nIeIEP,17.03.2018 11:30,Genclerbirligi,Akhisarspor,1,1,48%,52%,10,7,5,6,5,1,19,11,5,6,1,4,34,27,5,4,11,15,2,1,112,101,71,62,0,0,,,D
GtOljdxm,16.03.2018 18:00,Kardemir Karabuk,Ankaraspor,0,4,42%,58%,13,12,5,10,8,2,12,14,3,5,3,3,19,13,6,5,11,8,2,2,96,95,52,49,0,0,,,A
UqShkGig,16.03.2018 18:00,Kasimpasa,Antalyaspor,2,3,46%,54%,14,13,8,7,6,6,13,9,9,7,0,1,24,21,4,6,9,12,2,3,130,133,89,97,1,0,,,A
4rWlLywD,12.03.2018 18:00,Akhisarspor,Trabzonspor,1,3,47%,53%,9,10,5,7,4,3,12,16,8,4,2,2,23,27,4,4,14,10,4,2,100,107,77,81,1,0,,,A
dECurapQ,11.03.2018 17:00,Galatasaray,Konyaspor,2,1,65%,35%,16,4,10,2,6,2,13,15,8,2,2,2,32,25,1,8,13,11,4,6,161,89,134,47,0,0,,,H
rZjOZzh6,11.03.2018 14:00,Yeni Malatyaspor,Fenerbahce,0,2,53%,47%,7,5,3,2,4,3,13,18,13,3,2,2,32,16,0,3,16,10,0,2,150,102,95,67,0,0,,,A
Ega7wJhs,11.03.2018 11:30,Goztepe,Antalyaspor,2,1,57%,43%,9,15,6,8,3,7,13,12,5,7,3,3,20,14,7,4,9,10,3,5,101,83,57,72,0,1,,,H
hpbBxw8m,11.03.2018 11:30,Kayserispor,Kardemir Karabuk,3,2,58%,42%,15,4,4,3,11,1,12,15,13,2,0,1,29,27,1,1,16,11,1,3,146,84,103,44,0,1,,,H
pv9yquVJ,10.03.2018 17:00,Besiktas,Genclerbirligi,1,0,62%,38%,17,5,7,3,10,2,17,16,9,2,0,1,21,21,3,6,13,17,3,2,175,87,101,31,0,0,,,H
ALhGycNg,10.03.2018 14:00,Ankaraspor,Bursaspor,2,1,49%,51%,11,7,4,3,7,4,18,21,4,8,4,1,17,24,2,2,17,17,4,3,99,130,60,69,0,0,,,H
lCiKzHx0,10.03.2018 11:30,Sivasspor,Kasimpasa,2,2,49%,51%,11,7,7,4,4,3,21,19,2,0,0,3,20,16,2,5,19,18,2,2,104,94,75,45,0,0,,,D
rZUhKehJ,09.03.2018 18:00,Alanyaspor,Basaksehir,4,1,37%,63%,11,7,7,6,4,1,13,18,0,1,1,1,15,27,5,3,17,12,2,4,83,119,44,78,1,1,,,H
z9RpMHN6,05.03.2018 18:00,Trabzonspor,Besiktas,0,2,47%,53%,10,10,3,4,7,6,18,19,2,2,3,2,17,18,2,3,16,16,1,2,105,145,48,64,0,0,,,A
WEqJ7I8D,04.03.2018 17:00,Antalyaspor,Sivasspor,1,4,50%,50%,16,6,6,5,10,1,15,12,6,2,2,4,26,21,1,5,10,11,3,3,138,119,79,41,0,0,,,A
O8W4VL0K,04.03.2018 17:00,Fenerbahce,Akhisarspor,2,3,59%,41%,14,8,6,6,8,2,14,18,9,3,3,1,34,23,3,4,14,12,0,5,114,106,103,26,0,0,,,A
dIStNc80,04.03.2018 14:00,Konyaspor,Yeni Malatyaspor,0,1,54%,46%,4,9,2,2,2,7,5,17,5,4,0,0,28,16,1,2,17,4,2,2,118,69,75,48,0,0,,,A
4Km2UuGQ,04.03.2018 11:30,Genclerbirligi,Alanyaspor,0,1,54%,46%,4,7,3,5,1,2,23,17,6,1,2,5,29,14,4,3,15,18,4,2,152,101,98,60,0,0,,,A
0jZXOJwl,03.03.2018 17:00,Kardemir Karabuk,Galatasaray,0,7,29%,71%,7,13,1,7,6,6,11,16,4,6,6,3,17,19,0,1,9,9,2,4,91,127,34,68,0,0,,,A
6TZTPaOs,03.03.2018 14:00,Basaksehir,Goztepe,2,0,59%,41%,17,8,10,3,7,5,15,14,10,4,3,1,13,14,3,8,11,14,0,3,117,87,90,48,0,0,,,H
EgwxOwgf,03.03.2018 11:30,Kasimpasa,Ankaraspor,1,1,58%,42%,4,9,2,4,2,5,12,20,9,3,0,0,15,13,3,1,20,12,3,5,89,70,62,41,0,0,,,D
