id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Red Cards_home,Red Cards_away,result,Goal Kicks_home,Goal Kicks_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away
0CrawFGd,12.04.2014 15:00,Kardemir Karabuk,Akhisarspor,0,2,54%,46%,18.0,6.0,7.0,2.0,11.0,4.0,16.0,17.0,6.0,3.0,3.0,2.0,17.0,22.0,0.0,7.0,14.0,14.0,3.0,2.0,0,0,A,,,,,,,,,,,,,,
jwgPqHwT,12.04.2014 12:30,Kasimpasa,Bursaspor,1,1,55%,45%,13.0,11.0,3.0,5.0,10.0,6.0,,,3.0,7.0,1.0,5.0,,,4.0,2.0,15.0,14.0,3.0,2.0,0,0,D,,,,,,,,,,,,,,
4p9un7Kd,11.04.2014 19:00,Konyaspor,Besiktas,1,1,47%,53%,7.0,11.0,4.0,5.0,3.0,6.0,23.0,30.0,8.0,4.0,6.0,3.0,24.0,22.0,4.0,3.0,21.0,17.0,2.0,2.0,0,0,D,,,,,,,,,,,,,,
Sb8akL9i,07.04.2014 19:00,Trabzonspor,Genclerbirligi,3,0,47%,53%,15.0,14.0,6.0,3.0,9.0,11.0,10.0,23.0,6.0,6.0,2.0,3.0,14.0,40.0,3.0,3.0,19.0,8.0,1.0,0.0,0,0,H,,,,,,,,,,,,,,
lEd8mav4,06.04.2014 18:00,Galatasaray,Fenerbahce,1,0,53%,47%,9.0,7.0,4.0,2.0,5.0,5.0,32.0,20.0,5.0,5.0,2.0,5.0,16.0,14.0,2.0,3.0,17.0,28.0,6.0,10.0,1,1,H,,,,,,,,,,,,,,
6k73luPc,06.04.2014 15:00,Bursaspor,Sivasspor,4,3,53%,47%,18.0,7.0,9.0,5.0,9.0,2.0,28.0,22.0,8.0,2.0,3.0,11.0,18.0,17.0,2.0,5.0,19.0,16.0,2.0,2.0,0,0,H,,,,,,,,,,,,,,
8fyZYaPA,06.04.2014 12:30,Kayseri Erciyesspor,Elazigspor,3,0,58%,42%,14.0,9.0,6.0,2.0,8.0,7.0,14.0,18.0,5.0,5.0,2.0,1.0,14.0,14.0,2.0,3.0,18.0,12.0,1.0,3.0,0,0,H,,,,,,,,,,,,,,
0hGDRHHp,05.04.2014 18:00,Besiktas,Kayserispor,2,1,49%,51%,11.0,9.0,7.0,4.0,4.0,5.0,17.0,22.0,4.0,3.0,3.0,2.0,13.0,28.0,3.0,5.0,16.0,14.0,2.0,3.0,0,0,H,,,,,,,,,,,,,,
vqFHQyXj,05.04.2014 18:00,Rizespor,Kardemir Karabuk,0,1,44%,56%,15.0,12.0,7.0,7.0,8.0,5.0,14.0,18.0,4.0,2.0,1.0,0.0,22.0,24.0,6.0,7.0,15.0,19.0,2.0,2.0,0,0,A,,,,,,,,,,,,,,
fBwoWc9T,05.04.2014 15:00,Antalyaspor,Konyaspor,1,1,49%,51%,13.0,8.0,5.0,2.0,8.0,6.0,33.0,27.0,3.0,3.0,2.0,1.0,22.0,12.0,1.0,4.0,24.0,30.0,5.0,4.0,0,0,D,,,,,,,,,,,,,,
t8ZtXwfN,05.04.2014 12:30,Akhisarspor,Eskisehirspor,0,0,47%,53%,12.0,15.0,2.0,3.0,10.0,12.0,15.0,21.0,6.0,3.0,3.0,3.0,22.0,23.0,3.0,2.0,17.0,11.0,0.0,2.0,0,0,D,,,,,,,,,,,,,,
nozwYJvH,04.04.2014 19:00,Gaziantepspor,Kasimpasa,2,2,44%,56%,12.0,23.0,6.0,8.0,6.0,15.0,22.0,28.0,5.0,6.0,7.0,3.0,18.0,19.0,6.0,4.0,20.0,18.0,2.0,1.0,0,0,D,,,,,,,,,,,,,,
tSHPxrQo,31.03.2014 19:00,Eskisehirspor,Genclerbirligi,0,1,57%,43%,14.0,8.0,4.0,2.0,10.0,6.0,14.0,10.0,4.0,1.0,0.0,1.0,28.0,23.0,1.0,4.0,9.0,12.0,1.0,3.0,0,0,A,,,,,,,,,,,,,,
YNB9W63C,31.03.2014 19:00,Fenerbahce,Bursaspor,3,0,53%,47%,21.0,9.0,10.0,4.0,11.0,5.0,18.0,24.0,8.0,7.0,3.0,0.0,25.0,31.0,4.0,7.0,20.0,17.0,2.0,4.0,0,0,H,,,,,,,,,,,,,,
C8N0YSYa,31.03.2014 19:00,Kayserispor,Antalyaspor,3,1,51%,49%,10.0,9.0,3.0,4.0,7.0,5.0,23.0,14.0,2.0,5.0,2.0,2.0,24.0,20.0,3.0,0.0,11.0,21.0,2.0,2.0,0,0,H,,,,,,,,,,,,,,
fVLTy2uh,29.03.2014 18:00,Akhisarspor,Rizespor,2,3,51%,49%,10.0,14.0,6.0,5.0,4.0,9.0,20.0,20.0,3.0,3.0,1.0,4.0,25.0,22.0,2.0,4.0,19.0,15.0,2.0,1.0,0,0,A,,,,,,,,,,,,,,
SrKyztA4,29.03.2014 18:00,Konyaspor,Galatasaray,0,0,54%,46%,5.0,14.0,0.0,3.0,5.0,11.0,25.0,19.0,5.0,4.0,2.0,0.0,23.0,26.0,3.0,0.0,16.0,22.0,2.0,1.0,0,0,D,,,,,,,,,,,,,,
vNwsEbmo,29.03.2014 15:00,Elazigspor,Trabzonspor,0,0,45%,55%,7.0,13.0,1.0,8.0,6.0,5.0,20.0,16.0,3.0,5.0,2.0,2.0,27.0,29.0,8.0,1.0,14.0,19.0,1.0,2.0,0,0,D,,,,,,,,,,,,,,
