id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,Blocked Shots_home,Blocked Shots_away,result,Tackles_home,Tackles_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away
0SbwlGY6,25.09.2020 17:30,Misr Lel Makkasa,Arab Contractors,1,0,54%,46%,8.0,12.0,4.0,2.0,4.0,10.0,3.0,3.0,0.0,2.0,2.0,3.0,3.0,1.0,535.0,434.0,431.0,317.0,126.0,113.0,66.0,58.0,,,,,,,0,0,,,,,H,,,,,,
vDAUkx4f,25.09.2020 15:00,Haras El Hodood,El Gaish,0,0,48%,52%,12.0,12.0,2.0,5.0,10.0,7.0,7.0,2.0,0.0,4.0,5.0,2.0,2.0,1.0,316.0,318.0,204.0,209.0,108.0,90.0,91.0,60.0,,,,,,,0,0,,,,,D,,,,,,
xnklA6k9,24.09.2020 20:00,El Ismaily,Pyramids,1,3,54%,46%,15.0,10.0,6.0,7.0,9.0,3.0,9.0,3.0,3.0,0.0,4.0,5.0,6.0,1.0,458.0,369.0,342.0,269.0,125.0,100.0,96.0,51.0,,,,,,,0,0,,,,,A,,,,,,
Wn7MibZs,24.09.2020 17:30,Al Masry,El-Entag El-Harby,2,2,47%,53%,6.0,8.0,2.0,4.0,4.0,4.0,1.0,6.0,0.0,1.0,2.0,0.0,3.0,2.0,355.0,424.0,257.0,321.0,103.0,86.0,61.0,60.0,,,,,,,0,0,,,,,D,,,,,,
I39YldJ0,24.09.2020 17:30,El Gouna,Aswan SC,1,0,56%,44%,20.0,7.0,7.0,1.0,13.0,6.0,8.0,5.0,2.0,0.0,1.0,6.0,4.0,5.0,421.0,322.0,312.0,202.0,95.0,95.0,68.0,67.0,,,,,,,0,0,,,,,H,,,,,,
bDHtmzlD,24.09.2020 15:00,Wadi Degla,Smouha,0,0,57%,43%,10.0,7.0,2.0,0.0,8.0,7.0,11.0,6.0,2.0,0.0,0.0,2.0,2.0,3.0,497.0,306.0,389.0,226.0,98.0,94.0,74.0,44.0,,,,,,,0,0,,,,,D,,,,,,
CG5OBJQD,23.09.2020 20:00,ZED,Al Ahly,0,3,52%,48%,11.0,14.0,5.0,7.0,6.0,7.0,3.0,6.0,3.0,2.0,4.0,5.0,4.0,1.0,403.0,329.0,287.0,229.0,89.0,82.0,61.0,67.0,,,,,,,0,0,,,,,A,,,,,,
jkgh9Q4F,22.09.2020 20:00,Zamalek,Tanta,3,1,62%,38%,24.0,8.0,12.0,3.0,12.0,5.0,12.0,5.0,1.0,4.0,2.0,9.0,1.0,3.0,504.0,262.0,415.0,178.0,81.0,71.0,84.0,49.0,,,,,,,0,0,,,,,H,,,,,,
rPkpBnz3,21.09.2020 20:00,Pyramids,Haras El Hodood,1,0,59%,41%,12.0,10.0,3.0,3.0,9.0,7.0,2.0,4.0,5.0,3.0,3.0,2.0,3.0,4.0,461.0,318.0,338.0,204.0,107.0,118.0,60.0,54.0,,,,,,,0,0,,,,,H,,,,,,
2Db73zHd,21.09.2020 17:30,El Gaish,Wadi Degla,1,0,47%,53%,8.0,7.0,4.0,3.0,4.0,4.0,6.0,5.0,0.0,2.0,3.0,3.0,3.0,2.0,350.0,437.0,257.0,334.0,99.0,95.0,44.0,68.0,,,,,,,0,0,,,,,H,,,,,,
