id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,result
pMXlV1Wn,05.08.2022 18:30,Misr Lel Makkasa,National Bank Egypt,1,2,38%,62%,8,10,1,5,5,4,2,1,18,8,2,5,1,8,13,10,3,0,11,13,4,1,301,488,209,412,10,16,95,114,31,63,0,0,A
4AGiWsHt,04.08.2022 21:00,Al Masry,El Gaish,0,0,60%,40%,7,4,0,1,5,2,2,1,23,32,4,1,3,0,22,24,1,0,22,16,2,2,438,299,330,184,14,19,122,106,66,29,0,0,D
lbtrCvWO,04.08.2022 18:30,Eastern Company,Enppi,0,2,58%,42%,19,8,7,3,8,3,4,2,11,6,10,2,2,3,23,23,1,7,7,11,1,3,395,303,298,219,8,15,122,101,77,40,0,0,A
21UPzO8P,04.08.2022 18:30,Smouha,Ceramica Cleopatra,1,1,50%,50%,19,20,6,11,6,8,7,1,17,9,9,6,1,1,12,17,10,5,9,17,4,1,364,350,278,283,26,14,91,116,42,68,0,0,D
zexvDKGI,03.08.2022 21:00,Al Ahly,Pharco,0,0,69%,31%,13,10,0,0,11,8,2,2,11,13,7,3,1,0,16,11,0,0,13,13,2,4,511,236,447,182,14,11,104,74,79,34,0,1,D
hWnZD01C,02.08.2022 18:30,Arab Contractors,Future FC,0,1,37%,63%,8,17,2,6,2,9,4,2,12,21,8,2,1,1,21,13,5,2,19,11,4,2,277,501,193,435,18,22,95,121,57,50,0,0,A
EulVEtn6,01.08.2022 21:00,Zamalek,Pyramids,3,0,27%,73%,6,14,4,2,0,8,2,4,14,10,3,11,0,1,18,25,2,1,10,13,1,1,242,634,154,532,13,9,86,127,32,77,0,0,H
6FpNG2Hg,01.08.2022 18:30,El Ismaily,Misr Lel Makkasa,1,0,55%,45%,16,6,5,1,8,3,3,2,18,14,5,5,2,2,14,15,1,4,12,14,2,4,403,336,332,256,21,11,111,97,60,39,0,0,H
p6qRFMWa,01.08.2022 18:30,National Bank Egypt,El Gouna,1,1,55%,45%,11,9,5,4,6,4,0,1,14,13,4,5,5,3,23,30,3,4,8,11,3,0,381,315,289,222,10,13,97,111,51,58,0,0,D
OjeIHr2m,31.07.2022 21:00,El Gaish,Al Ittihad,2,1,41%,59%,3,14,3,5,0,6,0,3,14,9,1,19,2,2,24,29,4,1,6,11,0,1,310,403,222,315,14,17,91,99,30,85,0,0,H
CGiEIOns,31.07.2022 18:30,Ceramica Cleopatra,Eastern Company,0,1,69%,31%,19,6,3,1,10,5,6,0,18,17,7,3,6,4,32,21,0,3,12,16,4,3,503,231,389,107,11,20,118,80,76,32,0,0,A
fy5nN4vQ,31.07.2022 18:30,Ghazl El Mahallah,Smouha,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,H
IZZA7G5m,30.07.2022 21:00,Arab Contractors,Al Ahly,0,0,32%,68%,5,21,1,7,1,9,3,5,6,18,4,12,3,1,7,28,7,1,23,8,5,1,257,511,153,400,24,17,68,134,28,102,0,0,D
Gp6rOpPJ,30.07.2022 18:30,Enppi,Al Masry,1,1,54%,46%,12,14,2,5,7,4,3,5,21,19,7,5,4,7,18,24,4,1,17,19,1,1,326,284,213,180,11,18,119,111,52,60,0,0,D
vTMaa1nJ,28.07.2022 21:00,Future FC,Zamalek,0,1,44%,56%,9,23,0,8,8,9,1,6,13,12,4,10,2,1,16,17,7,0,11,12,,,370,466,282,390,20,19,102,111,47,77,0,0,A
6FOi1NH6,28.07.2022 18:30,El Gouna,El Ismaily,0,3,50%,50%,10,12,3,4,4,5,3,3,14,17,6,3,2,0,18,19,1,3,15,18,1,1,384,389,299,292,13,21,107,122,50,56,0,0,A
