id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Free Kicks_home,Free Kicks_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Throw-ins_home,Throw-ins_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Red Cards_home,Red Cards_away,Tackles_home,Tackles_away,Blocked Shots_home,Blocked Shots_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,result
Qwp1tbvm,23.05.2023 18:00,Aswan SC,National Bank Egypt,1,2,47%,53%,12,14,5,6,7,8,,,5,5,,,,,4,4,,,2,3,109,92,47,49,0,0,,,,,,,,,A
82Z5uIgg,22.05.2023 20:30,Arab Contractors,El Gaish,0,0,46%,54%,7,12,0,3,7,9,,,3,9,,,,,3,0,,,2,2,112,137,40,71,0,0,,,,,,,,,D
GSxEwdO5,22.05.2023 20:30,El Daklyeh,Zamalek,1,1,39%,61%,11,13,3,3,8,10,,,8,4,,,,,2,2,,,2,3,107,124,61,52,0,0,,,,,,,,,D
M5wAvx9a,22.05.2023 18:00,Al Ittihad,Al Masry,1,2,55%,45%,8,6,5,2,3,4,,,4,5,,,,,0,4,,,4,4,93,70,36,49,1,0,,,,,,,,,A
fJyIxGwC,21.05.2023 20:30,Ghazl El Mahallah,Pyramids,0,2,38%,62%,9,8,2,2,7,6,,,6,3,,,,,0,2,,,1,2,102,115,52,50,0,0,,,,,,,,,A
nmocsvPt,21.05.2023 18:00,El Ismaily,Haras El Hodood,1,0,56%,44%,10,6,1,2,9,4,,,6,2,,,,,2,0,,,5,1,109,99,60,44,0,1,,,,,,,,,H
KxVtulrD,18.05.2023 19:00,Zamalek,Aswan SC,1,0,62%,38%,22,12,7,1,15,11,,,6,4,,,,,1,6,,,1,3,110,101,62,49,0,0,,,,,,,,,H
jcwQrWrl,17.05.2023 19:00,National Bank Egypt,El Ismaily,2,0,57%,43%,11,6,6,3,5,3,,,9,5,,,,,3,4,,,0,2,85,99,56,40,0,0,,,,,,,,,H
nPWYtAD0,16.05.2023 20:30,El Gaish,Pharco,2,2,27%,73%,6,7,3,3,3,4,,,1,5,,,,,1,1,,,3,1,84,118,41,53,1,0,,,,,,,,,D
xEaRn01J,16.05.2023 18:00,Smouha,Future FC,1,1,30%,70%,7,16,1,5,6,11,,,2,10,,,,,4,0,,,1,2,99,124,40,75,0,0,,,,,,,,,D
dzvMqCTs,16.05.2023 16:00,Haras El Hodood,Arab Contractors,0,2,67%,33%,7,9,2,4,5,5,,,6,1,,,,,2,2,,,2,3,123,96,70,36,0,0,,,,,,,,,A
UmxUsjbf,15.05.2023 20:30,Enppi,Al Ittihad,1,0,60%,40%,11,8,2,1,9,7,,,7,2,,,,,1,1,,,0,1,110,88,82,29,0,1,,,,,,,,,H
QFVxtUS6,15.05.2023 18:00,Al Masry,El Daklyeh,1,1,56%,44%,6,10,5,2,1,8,,,6,9,,,,,1,4,,,2,3,104,121,44,62,0,0,,,,,,,,,D
YuZpv8cJ,14.05.2023 19:00,Ceramica Cleopatra,Ghazl El Mahallah,0,0,58%,42%,9,13,1,3,8,10,,,4,4,,,,,3,1,,,1,2,120,115,43,58,0,0,,,,,,,,,D
YL6aSAb7,13.05.2023 18:00,El Ismaily,Zamalek,2,1,35%,65%,9,9,5,1,4,8,,,6,7,,,,,0,3,,,4,1,96,106,46,62,0,0,,,,,,,,,H
b7z6MrWG,09.05.2023 18:00,Pyramids,El Ismaily,3,1,62%,38%,13,9,6,4,7,5,,,2,9,,,,,3,3,,,2,2,96,93,39,52,0,1,,,,,,,,,H
MsmflhLQ,04.05.2023 20:30,Future FC,Pharco,0,0,57%,43%,13,7,4,1,9,6,,,7,4,,,,,1,4,,,3,0,91,104,68,43,0,0,0,0,,,,,,,D
xfDjUWTf,04.05.2023 18:00,Arab Contractors,National Bank Egypt,1,1,40%,60%,19,5,7,2,12,3,,,5,3,,,,,1,6,,,3,4,129,104,72,43,0,1,,,,,,,,,D
rXDnVCEl,04.05.2023 18:00,Haras El Hodood,El Gaish,2,3,47%,53%,4,13,3,8,1,5,,,6,3,,,,,5,1,,,2,2,109,120,52,89,0,0,,,,,,,,,A
vJckkY5K,03.05.2023 19:00,Aswan SC,Al Masry,3,1,44%,56%,12,18,4,7,8,11,,,2,7,2,0,,,6,1,17,7,2,3,103,143,42,70,0,0,0,0,,,,,,,H
4tFrWhar,02.05.2023 20:30,El Daklyeh,Enppi,1,1,60%,40%,7,3,2,1,5,2,,,7,4,2,0,,,0,1,6,16,0,1,114,73,87,49,0,0,,,,,,,,,D
0SbojEjE,02.05.2023 18:00,Ghazl El Mahallah,Smouha,0,2,69%,31%,16,8,6,4,10,4,,,14,3,3,2,,,2,6,4,8,1,3,140,87,148,60,0,0,0,0,,,,,,,A
rJWhVIDe,26.04.2023 20:30,Zamalek,Ceramica Cleopatra,1,0,55%,45%,13,9,3,4,8,5,13,14,7,1,4,2,16,22,4,2,13,13,3,2,111,117,59,50,0,0,15,5,2,0,501,419,412,332,H
jypoR6Ho,26.04.2023 17:00,El Gaish,Ghazl El Mahallah,1,0,51%,49%,11,3,4,1,5,1,18,16,5,2,6,0,18,28,1,3,12,21,2,4,125,109,53,31,0,0,11,8,2,1,382,375,256,257,H
UiSualYh,25.04.2023 20:30,Future FC,El Daklyeh,0,1,74%,26%,19,6,5,1,9,3,7,14,9,2,1,0,27,15,0,5,12,8,1,2,147,94,91,29,0,0,14,17,5,2,680,253,581,159,A
IZZcgp2U,25.04.2023 18:00,National Bank Egypt,Al Masry,0,0,58%,42%,9,12,1,2,4,7,12,12,4,3,2,4,32,27,2,1,11,10,0,1,104,114,50,45,0,1,16,12,4,3,438,315,334,233,D
tlcGxeME,20.04.2023 21:15,Al Masry,El Ismaily,1,2,52%,48%,6,8,2,3,1,2,16,18,7,5,7,1,37,27,1,1,11,18,3,3,93,77,53,41,0,0,15,18,3,3,374,355,270,237,A
E1eOzZjR,20.04.2023 21:15,Ceramica Cleopatra,Al Ittihad,0,0,40%,60%,13,7,6,2,5,5,11,17,6,2,5,2,27,24,2,6,9,9,0,1,110,113,59,57,1,0,12,13,2,0,349,529,278,444,D
nkGPFXE1,19.04.2023 21:15,El Gaish,Future FC,0,0,31%,69%,3,11,0,2,2,6,14,15,3,6,0,1,14,29,2,0,15,15,3,3,69,81,32,51,0,1,22,10,1,3,260,574,159,464,D
