id,date,home_team,away_team,home_goals,away_goals,Expected Goals (xG)_home,Expected Goals (xG)_away,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Blocked Shots_home,Blocked Shots_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Tackles_home,Tackles_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Crosses Completed_home,Crosses Completed_away,Interceptions_home,Interceptions_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Red Cards_home,Red Cards_away,result
0QHs9mLn,14.12.2023 18:00,Pyramids,Baladiyat El Mahalla,2,2,3.74,0.26,54%,46%,24,8,6,4,16,2,2,2,4,5,8,1,2,4,12,13,2,3,403,328,10,11,131,97,77,40,21,17,12,8,,,,,0,0,D
Mu6j7Rka,14.12.2023 15:00,Future FC,Ceramica Cleopatra,1,1,0.42,0.66,46%,54%,8,19,1,2,6,17,1,0,7,11,2,0,1,0,11,5,3,2,316,468,35,17,61,86,35,67,17,23,13,6,,,,,0,0,D
jiWBE9cP,14.12.2023 15:00,National Bank Egypt,El Gouna,2,3,0.84,1.27,59%,41%,17,17,5,7,8,7,4,3,5,9,0,2,4,3,8,9,2,2,388,174,6,17,112,75,61,46,26,18,11,9,,,,,0,0,A
63d8fl6g,06.12.2023 18:00,Arab Contractors,El Daklyeh,0,0,0.13,0.47,60%,40%,13,10,2,1,10,7,1,2,2,3,2,0,1,2,10,10,2,1,466,198,21,26,147,103,69,46,27,20,6,1,,,,,0,0,D
UN2U1WDJ,05.12.2023 18:00,Ceramica Cleopatra,Enppi,4,2,1.56,2.77,56%,44%,19,14,6,5,10,6,3,3,5,4,3,1,3,2,8,6,3,1,443,291,14,24,130,97,51,43,12,19,5,10,,,,,0,0,H
8E1Y0jTP,05.12.2023 18:00,El Ismaily,National Bank Egypt,2,1,1.58,1.19,46%,54%,11,13,4,4,4,7,3,2,2,14,6,2,3,2,16,11,3,4,291,416,20,10,86,122,41,85,9,35,9,7,,,,,0,0,H
t89nwmyJ,05.12.2023 15:00,Baladiyat El Mahalla,El Gaish,0,2,0.45,0.89,51%,49%,8,12,3,5,2,4,3,3,7,5,1,3,3,3,10,20,3,3,363,330,14,15,109,105,54,48,18,12,9,11,,,,,1,0,A
2HArvTLC,04.12.2023 18:00,Smouha,Pharco,2,1,1.58,1.16,53%,47%,21,10,4,3,15,5,2,2,4,2,3,0,2,2,13,10,2,0,346,306,20,14,116,122,64,54,30,7,6,5,,,,,0,0,H
KhLwu966,01.12.2023 18:00,National Bank Egypt,Ceramica Cleopatra,0,1,0.53,1.00,50%,50%,13,17,2,6,6,9,5,2,2,1,3,0,5,2,16,10,3,1,353,370,21,24,127,111,61,55,25,3,12,3,,,,,0,0,A
CSHVtVyf,01.12.2023 15:00,El Daklyeh,Baladiyat El Mahalla,0,0,0.26,0.14,36%,64%,13,9,1,3,9,5,3,1,7,2,0,2,3,1,14,6,1,3,148,501,20,17,74,138,42,54,15,16,8,7,,,,,0,0,D
