id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Completed Passes_home,Completed Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Goal Kicks_home,Goal Kicks_away,Blocked Shots_home,Blocked Shots_away,result
886UW2tI,07.09.2020 15:30,Al Ittihad,Misr Lel Makkasa,1,3,51%,49%,16,11,4,6,12,5,6,4,2,2,3,3,3,0,481,435,358,348,57,66,64,68,,,,,,,0,0,,,,,A
0r3MYOB5,06.09.2020 20:30,Zamalek,El Gaish,1,0,51%,49%,14,8,2,2,12,6,2,3,3,1,2,1,4,1,448,409,358,300,91,90,65,75,,,,,,,0,0,,,,,H
f52QXrRB,06.09.2020 18:00,Al Masry,Enppi,1,1,51%,49%,6,6,1,4,5,2,7,5,3,1,3,0,1,2,392,407,258,264,114,153,83,89,,,,,,,0,0,,,,,D
tdyqjQtt,06.09.2020 18:00,El Gouna,Pyramids,2,1,42%,58%,8,14,2,4,6,10,5,6,3,2,3,0,2,0,315,494,220,373,76,87,59,78,,,,,,,0,0,,,,,H
Knzmkpdn,06.09.2020 15:30,El-Entag El-Harby,Tanta,3,0,58%,42%,16,15,5,5,11,10,8,8,2,1,5,2,2,3,447,314,359,206,75,73,64,67,,,,,,,0,0,,,,,H
jXeZVMeO,05.09.2020 18:00,Aswan SC,Smouha,3,3,49%,51%,15,13,6,5,9,8,3,4,1,0,2,3,1,1,335,364,254,278,91,102,51,57,,,0,4,,,2,0,,,,,D
Q5jpZX5l,04.09.2020 20:00,Al Ahly,Wadi Degla,2,0,45%,55%,18,5,9,1,9,4,7,1,0,3,1,7,1,2,342,434,266,363,100,105,95,64,,,,,,,0,0,,,,,H
8SlDx7Ct,04.09.2020 17:00,Misr Lel Makkasa,El Ismaily,4,1,56%,44%,9,8,5,3,4,5,3,3,2,0,2,1,1,1,551,434,469,334,132,134,66,87,,,,,,,0,0,,,,,H
8UukYiLf,03.09.2020 20:30,Arab Contractors,Al Masry,2,0,39%,61%,6,20,2,3,4,17,3,4,0,3,3,0,1,0,266,511,173,421,87,116,31,84,,,,,,,1,0,,,,,H
2klHyRRn,03.09.2020 20:30,Pyramids,Zamalek,0,2,57%,43%,21,10,4,4,17,6,7,5,5,1,2,4,0,1,478,337,372,235,86,59,86,52,,,,,,,0,0,,,,,A
ttmLzosg,03.09.2020 18:00,ZED,Haras El Hodood,1,1,44%,56%,8,13,5,5,3,8,4,9,1,0,4,4,1,0,309,465,213,343,81,127,39,111,,,,,,,0,0,,,,,D
for1Vk5D,03.09.2020 15:30,Tanta,Al Ittihad,1,1,39%,61%,10,12,4,5,6,7,10,4,3,0,4,3,1,1,270,468,153,353,129,127,99,88,,,,,,,0,0,,,,,D
GfqcWVk7,02.09.2020 20:30,Smouha,El-Entag El-Harby,1,2,47%,53%,19,15,5,2,14,13,7,3,2,1,0,4,3,2,338,404,243,312,55,67,80,66,,,,,,,0,0,,,,,A
nLvgXBz1,02.09.2020 18:00,Enppi,El Gouna,0,0,47%,53%,5,8,1,0,4,8,2,3,1,3,0,1,5,1,324,399,231,292,76,91,31,64,,,,,,,0,0,,,,,D
djMqfZsE,02.09.2020 15:30,El Gaish,Aswan SC,0,0,49%,51%,27,8,8,4,19,4,7,1,0,0,4,8,3,3,337,346,228,238,144,141,119,67,,,,,,,0,0,,,,,D
n1C7LEyk,31.08.2020 20:00,El Ismaily,Al Ittihad,1,3,52%,48%,11,5,3,3,8,2,11,0,1,2,0,2,2,2,369,397,255,304,118,123,95,62,,,,,,,0,0,,,,,A
zNh2sdb8,31.08.2020 17:00,Haras El Hodood,Misr Lel Makkasa,1,1,46%,54%,16,9,3,5,13,4,2,3,0,3,4,2,4,5,358,447,259,352,54,64,66,59,,,,,,,0,0,,,,,D
QiBBKYje,30.08.2020 20:30,Zamalek,Enppi,1,0,58%,42%,12,4,3,0,9,4,8,1,4,2,0,2,2,3,324,192,254,118,133,97,75,54,,,,,,,0,0,,,,,H
WlnBuzTK,30.08.2020 18:00,El Gouna,Arab Contractors,2,0,44%,56%,10,15,3,4,7,11,2,5,1,3,4,1,3,1,272,427,194,310,98,117,48,89,,,,,,,0,0,,,,,H
EDi6tGDE,30.08.2020 18:00,Smouha,Tanta,3,0,40%,60%,7,17,3,1,4,16,5,5,4,0,1,0,1,1,261,478,167,378,107,145,74,112,,,,,,,0,0,,,,,H
SKXtzEjr,30.08.2020 15:30,Wadi Degla,ZED,2,1,37%,63%,6,17,3,7,3,10,1,6,2,0,6,1,4,3,181,380,137,312,86,141,57,112,,,,,,,1,1,,,,,H
8G0GJh61,29.08.2020 20:30,Al Masry,Al Ahly,0,2,33%,67%,2,14,0,3,2,11,1,7,2,2,1,0,3,1,208,485,144,395,106,149,42,125,,,,,,,1,0,,,,,A
MJ4KICL7,29.08.2020 18:00,Aswan SC,Pyramids,1,2,43%,57%,12,15,6,9,2,5,3,5,,,7,5,2,2,,,,,81,132,41,67,7,3,9,4,3,7,0,0,,,4,1,A
AuoFvfrR,29.08.2020 15:30,El-Entag El-Harby,El Gaish,0,1,52%,48%,4,12,2,5,2,7,1,6,2,1,4,2,1,1,,,,,91,83,40,67,,,,,,,0,0,,,,,A
hviY6FMe,27.08.2020 21:00,Arab Contractors,Zamalek,2,1,37%,63%,10,20,5,4,5,16,1,11,0,3,3,3,5,3,264,540,189,434,93,144,48,136,,,,,,,2,0,,,,,H
nwYOTxU8,27.08.2020 21:00,Tanta,El Ismaily,1,3,46%,54%,10,11,2,8,8,3,5,3,2,2,5,1,,,,,,,87,100,86,82,2,2,0,5,2,2,0,0,,,,,A
f3yXRGbL,27.08.2020 18:30,Misr Lel Makkasa,Wadi Degla,1,3,64%,36%,13,14,5,7,8,7,3,5,0,0,4,4,3,1,635,302,543,210,107,85,75,59,,,,,,,0,0,,,,,A
WUkx6Zy2,27.08.2020 16:00,Al Ittihad,Haras El Hodood,1,1,61%,39%,10,14,4,9,6,5,5,5,1,0,8,3,3,1,527,278,426,192,130,111,107,89,,,,,,,0,0,,,,,D
bHiU7e7k,26.08.2020 21:00,Al Ahly,El Gouna,1,0,55%,45%,17,5,6,1,11,4,7,1,2,3,1,5,4,4,379,291,266,197,121,93,77,31,,,,,,,1,0,,,,,H
vyD3MfMr,26.08.2020 18:30,ZED,Al Masry,0,0,50%,50%,13,9,3,0,10,9,7,2,3,0,0,3,0,2,420,411,308,309,78,76,77,68,,,,,,,0,0,,,,,D
t0XSSdqF,26.08.2020 16:00,El Gaish,Smouha,1,1,56%,44%,18,8,5,1,13,7,8,3,3,0,0,4,0,3,424,279,306,164,111,101,92,60,,,,,,,0,0,,,,,D
xSQyRzER,25.08.2020 20:00,Pyramids,El-Entag El-Harby,3,0,58%,42%,19,6,5,1,14,5,5,6,0,1,1,2,1,3,565,390,464,289,111,81,73,55,,,,,,,0,0,,,,,H
