id,date,home_team,away_team,home_goals,away_goals,Ball Possession_home,Ball Possession_away,Goal Attempts_home,Goal Attempts_away,Shots on Goal_home,Shots on Goal_away,Shots off Goal_home,Shots off Goal_away,Corner Kicks_home,Corner Kicks_away,Offsides_home,Offsides_away,Goalkeeper Saves_home,Goalkeeper Saves_away,Fouls_home,Fouls_away,Red Cards_home,Red Cards_away,Yellow Cards_home,Yellow Cards_away,Total Passes_home,Total Passes_away,Attacks_home,Attacks_away,Dangerous Attacks_home,Dangerous Attacks_away,Tackles_home,Tackles_away,Free Kicks_home,Free Kicks_away,Throw-ins_home,Throw-ins_away,Completed Passes_home,Completed Passes_away,result
dvQ6xLWs,30.05.2021 17:00,Enppi,El-Entag El-Harby,1,1,55%,45%,6,9,3,3,3,6,2,4,1,0,2,2,11,15,0,0,2,2,310,185,132,100,79,34,,,,,,,,,D
p0IJZIG0,30.05.2021 17:00,Smouha,Arab Contractors,2,2,44%,56%,8,15,5,8,3,7,2,4,2,1,6,3,17,25,1,0,2,3,249,340,103,119,66,64,,,,,,,,,D
j1PAyunl,29.05.2021 21:00,El Gaish,Ceramica Cleopatra,2,2,58%,42%,18,15,6,6,12,9,6,1,4,1,4,4,15,17,0,1,0,3,259,180,114,96,71,50,,,,,,,,,D
hQLRXdoD,28.05.2021 21:00,Aswan SC,Al Ittihad,0,2,50%,50%,13,4,1,2,12,2,6,2,0,0,0,1,15,21,0,0,1,2,214,186,136,124,70,50,10,12,,,,,,,A
0WzDeuke,28.05.2021 17:00,Al Masry,Wadi Degla,2,2,59%,41%,17,8,5,3,12,5,8,1,0,4,1,3,12,10,0,0,2,3,451,206,141,75,96,35,,,,,,,,,D
2yTEza1f,28.05.2021 17:00,Misr Lel Makkasa,Ghazl El Mahallah,1,0,62%,38%,11,9,4,1,7,8,2,2,3,3,1,3,9,20,0,0,1,2,401,176,148,110,50,50,,,,,,,,,H
Mux9dLZl,26.05.2021 19:00,Ceramica Cleopatra,Enppi,0,2,54%,46%,12,12,2,6,10,6,6,2,3,0,4,2,23,15,0,0,5,2,276,198,119,99,70,53,,,,,,,,,A
p0dlKwHD,26.05.2021 17:00,National Bank Egypt,Smouha,2,2,51%,49%,13,11,6,2,7,9,5,4,3,0,0,4,18,12,0,0,2,2,260,159,110,98,64,47,18,14,,,,,0,0,D
lY2uMan1,25.05.2021 21:00,Al Ittihad,El Gouna,0,1,53%,47%,10,10,1,2,9,8,3,1,5,3,1,1,20,27,0,0,4,3,270,216,164,126,78,43,25,19,,,,,,,A
WdhpLJ17,25.05.2021 21:00,Aswan SC,Ghazl El Mahallah,1,0,43%,57%,10,11,3,1,7,10,4,9,1,3,1,2,21,15,0,0,3,2,128,206,51,66,57,75,13,4,,,,,,,H
b3pWrNgE,25.05.2021 19:00,Wadi Degla,El Gaish,0,1,52%,48%,9,8,4,2,5,6,3,0,1,1,1,4,24,29,0,0,1,1,314,214,120,107,52,43,11,19,,,,,,,A
As4yNuXf,24.05.2021 21:00,Zamalek,Al Masry,3,2,59%,41%,17,10,8,4,9,6,6,4,3,0,2,5,11,18,1,1,3,5,356,189,120,78,84,33,7,9,,,,,,,H
2H4XNLHl,24.05.2021 19:00,El Ismaily,Misr Lel Makkasa,2,1,47%,53%,10,9,3,1,7,8,2,2,2,1,1,1,17,19,0,0,2,3,366,422,131,136,50,47,18,19,,,,,,,H
4tPdUNvL,21.05.2021 21:00,Enppi,Wadi Degla,0,0,49%,51%,9,13,3,2,6,11,2,5,3,4,2,3,15,7,0,0,2,1,233,258,102,117,46,65,13,11,,,,,,,D
IqT0TsfR,21.05.2021 19:00,Smouha,El-Entag El-Harby,4,2,47%,53%,13,16,10,6,3,10,3,4,0,2,4,6,20,13,0,0,3,1,245,333,118,138,53,61,12,25,,,,,,,H
AJPhV3PE,20.05.2021 21:00,Al Masry,Al Ittihad,1,0,53%,47%,10,12,4,4,6,8,2,6,0,4,4,3,14,15,0,0,1,3,312,218,62,63,32,36,26,12,,,,,,,H
WSQlWqA8,20.05.2021 21:00,Zamalek,El Gaish,2,1,56%,44%,22,14,7,5,15,9,5,5,2,2,4,5,9,14,0,0,0,1,390,207,103,87,60,46,14,13,,,,,,,H
fBs670X7,20.05.2021 19:00,El Gouna,Ghazl El Mahallah,0,0,66%,34%,5,6,2,2,3,4,6,3,0,0,2,2,12,8,0,0,1,0,283,121,94,84,45,43,5,7,,,,,,,D
GKr28tI1,19.05.2021 21:00,Aswan SC,Misr Lel Makkasa,2,4,48%,52%,15,10,6,5,9,5,3,2,5,1,1,4,19,17,0,0,2,4,221,249,107,124,70,47,14,13,,,,,,,A
Mcqb9M2e,19.05.2021 19:00,Arab Contractors,El Ismaily,1,0,42%,58%,8,9,2,1,6,8,5,3,4,0,1,1,21,12,0,1,3,2,265,367,125,127,54,51,33,24,,,,,,,H
zk9ITjlA,15.05.2021 21:00,Al Ittihad,El Gaish,1,1,48%,52%,19,13,5,2,14,11,5,7,2,0,1,4,13,14,0,0,3,4,240,209,137,102,78,58,,,,,,,,,D
dbAEUWY3,15.05.2021 19:00,Misr Lel Makkasa,El Gouna,1,0,57%,43%,6,4,3,3,3,1,5,2,4,2,3,2,17,16,0,0,0,2,461,267,126,95,50,33,,,,,,,,,H
EZK9VCJc,15.05.2021 17:00,Ceramica Cleopatra,Smouha,1,1,48%,52%,14,12,3,3,11,9,2,3,1,4,2,2,11,12,0,0,1,2,353,334,123,128,58,52,17,18,,,,,,,D
0WG5Wh4i,14.05.2021 21:00,Zamalek,Enppi,3,1,52%,48%,10,14,5,4,5,10,3,2,1,4,3,2,16,6,0,0,1,2,311,222,60,47,48,53,11,14,9,17,24,18,,,H
nTSN79Rj,14.05.2021 19:00,Ghazl El Mahallah,Al Masry,1,2,47%,53%,12,13,2,3,10,10,4,6,0,1,1,1,19,18,0,0,2,4,194,228,98,115,64,63,15,15,19,18,28,26,,,A
8xUJ8kCp,14.05.2021 17:00,El Ismaily,Aswan SC,3,2,73%,27%,13,13,5,4,8,9,4,4,0,3,2,2,21,12,0,0,2,2,490,103,120,81,69,44,11,17,18,20,23,11,,,H
48PbDV3T,14.05.2021 17:00,National Bank Egypt,Arab Contractors,0,1,55%,45%,12,9,3,7,9,2,3,0,0,1,6,3,22,13,0,0,2,1,309,231,113,124,54,51,11,9,,,0,0,,,A
Ao62lpa2,10.05.2021 21:30,Al Ahly,Zamalek,1,1,53%,47%,10,14,3,6,7,8,7,4,2,2,5,2,11,14,0,0,1,2,397,336,107,112,47,46,,,,,,,,,D
M7rzkdYF,10.05.2021 21:30,El Gouna,Aswan SC,1,1,57%,43%,11,9,3,4,8,5,5,2,2,2,3,2,13,14,0,1,1,4,399,141,141,109,69,45,,,,,,,,,D
SMtItYud,10.05.2021 21:30,National Bank Egypt,El Ismaily,0,2,30%,70%,4,15,3,4,1,11,3,7,3,2,2,3,18,14,1,0,1,1,162,429,99,110,53,77,,,,,,,,,A
